Pts,FPI
16.0,-5.8
16.0,-2.6
26.0,-2.6
17.0,-2.6
20.0,-2.6
10.0,-2.6
35.0,-2.6
17.0,-2.6
14.0,4.4
25.0,4.4
26.0,4.4
21.0,4.4
32.0,4.4
16.0,4.4
24.0,4.4
10.0,0.8
16.0,0.8
14.0,0.8
20.0,0.8
17.0,0.8
33.0,0.8
16.0,0.8
7.0,0.8
32.0,0.8
38.0,0.8
13.0,-1.2
17.0,-1.2
16.0,-1.2
0.0,-1.2
9.0,-1.2
13.0,-1.2
20.0,-1.2
13.0,-1.2
24.0,3.6
21.0,3.6
19.0,3.6
6.0,3.6
20.0,3.6
13.0,3.6
18.0,3.6
23.0,3.6
41.0,3.6
16.0,-3.1
22.0,-3.1
20.0,-3.1
10.0,-3.1
14.0,-3.1
23.0,-3.1
21.0,-3.1
20.0,-3.1
17.0,-3.1
16.0,-3.1
19.0,-3.1
14.0,-3.1
21.0,-3.1
15.0,-3.3
6.0,-3.3
6.0,-3.3
24.0,-3.3
27.0,-3.3
13.0,-3.3
21.0,-3.3
14.0,-3.3
10.0,4.0
3.0,4.0
27.0,4.0
10.0,4.0
16.0,4.0
20.0,4.0
13.0,4.0
22.0,0.5
21.0,0.5
19.0,0.5
27.0,0.5
27.0,0.5
31.0,0.5
16.0,0.5
16.0,0.5
24.0,0.5
34.0,0.5
17.0,0.5
6.0,1.7
10.0,1.7
25.0,1.7
16.0,1.7
13.0,1.7
15.0,1.7
20.0,1.7
10.0,1.7
14.0,0.0
23.0,0.0
15.0,0.0
13.0,0.0
26.0,0.0
23.0,0.0
23.0,0.0
20.0,0.0
22.0,0.0
13.0,4.3
19.0,4.3
7.0,4.3
31.0,4.3
3.0,3.8
17.0,3.8
16.0,3.8
14.0,3.8
30.0,3.8
15.0,3.8
15.0,7.8
24.0,7.8
28.0,7.8
28.0,7.8
24.0,7.8
30.0,7.8
17.0,-6.2
17.0,-6.2
17.0,-6.2
13.0,-6.2
23.0,-6.2
18.0,-6.2
21.0,-6.2
20.0,-6.2
27.0,-6.2
17.0,-6.2
16.0,-6.2
24.0,-6.2
6.0,-6.2
23.0,-6.2
5.0,4.1
20.0,4.1
31.0,4.1
10.0,4.1
3.0,4.1
20.0,4.1
11.0,1.9
23.0,1.9
21.0,1.9
32.0,1.9
32.0,1.9
13.0,1.9
34.0,1.9
13.0,1.9
20.0,1.9
10.0,-10.2
14.0,-10.2
10.0,-10.2
3.0,-10.2
6.0,-10.2
28.0,-10.2
0.0,-10.2
21.0,-10.2
10.0,-10.2
19.0,-10.2
10.0,-10.2
21.0,-10.2
6.0,-0.1
10.0,-0.1
13.0,-0.1
28.0,-0.1
14.0,-0.1
7.0,-0.7
28.0,-0.7
