PtsW,Power Index FPI,Power Index OFF,Power Index DEF_Losing Team,Power Index ST,Ranks SOS,Ranks AVGWP,YdsW,TOW,EPA/play,OVR_SUCCESS_RATE,Dropback EPA,DROPBACK_SR,Rush EPA,RUN_SR,PtsL,Power Index FPI_Losing Team,Power Index OFF_Losing Team,Power Index DEF,Power Index ST_Losing Team,Ranks SOS_Losing Team,Ranks AVGWP_Losing Team,YdsL,TOL,EPA/play_Loss,OVR_SUCCESS_RATE_Loss,Dropback EPA_Loss,DROPBACK_SR_Loss,Rush EPA_Loss,RUN_SR_Loss
47.0,8.3,6.0,-3.1,-0.4,17.0,3.0,446.0,1.0,0.223,0.493,0.33,0.514,0.10800000000000001,0.471,7.0,-8.3,-5.4,2.6,0.2,4.0,32.0,156.0,4.0,-0.546,0.4,-0.885,0.4,-0.207,0.4
19.0,8.3,6.0,-3.1,-0.4,17.0,3.0,337.0,0.0,0.08,0.474,0.305,0.56,-0.321,0.321,13.0,-8.3,-5.4,2.6,0.2,4.0,32.0,368.0,2.0,-0.022000000000000002,0.411,0.044000000000000004,0.45,-0.18600000000000005,0.313
27.0,-3.8,-7.2,-3.1,-0.1,7.0,16.0,388.0,1.0,-0.091,0.354,-0.212,0.36,-0.016,0.35,6.0,-8.3,-5.4,3.5,0.2,4.0,32.0,189.0,0.0,-0.36,0.273,-0.303,0.32,-0.539,0.125
24.0,-6.7,-4.0,-3.1,0.0,1.0,31.0,481.0,2.0,0.145,0.486,0.29,0.564,-0.016,0.4,10.0,-8.3,-5.4,-2.7,0.2,4.0,32.0,221.0,0.0,-0.24,0.35700000000000004,-0.295,0.405,-0.075,0.214
30.0,-2.1,1.3,-3.1,-0.2,23.0,14.0,525.0,1.0,0.22699999999999998,0.564,0.379,0.603,-0.214,0.45,27.0,-8.3,-5.4,-3.3,0.2,4.0,32.0,380.0,0.0,0.267,0.478,0.3670000000000001,0.488,0.08800000000000001,0.458
30.0,-1.4,-1.8,-2.5,0.4,24.0,22.0,327.0,1.0,-0.045,0.391,-0.03,0.429,-0.067,0.333,24.0,-8.2,-5.5,0.0,-0.2,29.0,30.0,231.0,1.0,-0.151,0.404,-0.457,0.32299999999999995,0.215,0.5
35.0,-1.4,-1.8,-2.5,0.4,24.0,22.0,378.0,2.0,0.008,0.474,-0.17800000000000002,0.436,0.41100000000000003,0.556,33.0,-8.2,-5.5,0.0,-0.2,29.0,30.0,433.0,2.0,-0.038,0.443,0.011000000000000001,0.48,-0.122,0.379
38.0,-2.6,-0.2,-2.5,-0.3,20.0,28.0,434.0,2.0,0.182,0.544,0.251,0.636,0.11599999999999999,0.457,10.0,-8.2,-5.5,-2.0,-0.2,29.0,30.0,299.0,4.0,-0.35,0.426,-0.425,0.44,-0.14300000000000002,0.389
20.0,-0.2,-2.2,-2.5,-0.1,21.0,21.0,270.0,0.0,-0.18100000000000002,0.317,-0.064,0.385,-0.3720000000000001,0.208,6.0,-8.2,-5.5,2.1,-0.2,29.0,30.0,211.0,3.0,-0.391,0.458,-0.56,0.462,-0.06,0.45
34.0,-0.2,-2.2,-2.5,-0.1,21.0,21.0,330.0,1.0,0.07400000000000001,0.391,0.38799999999999996,0.581,-0.18100000000000002,0.237,6.0,-8.2,-5.5,2.1,-0.2,29.0,30.0,257.0,4.0,-0.379,0.354,-0.247,0.377,-0.96,0.25
14.0,1.7,0.7,-2.5,-0.1,19.0,17.0,209.0,1.0,0.006,0.34700000000000003,0.08900000000000001,0.429,-0.105,0.238,13.0,-8.2,-5.5,1.1,-0.2,29.0,30.0,276.0,1.0,-0.028999999999999998,0.362,0.098,0.429,-0.226,0.259
27.0,7.9,3.5,-2.5,-0.4,28.0,1.0,303.0,0.0,0.147,0.545,0.249,0.606,0.046,0.485,10.0,-8.2,-5.5,4.8,-0.2,29.0,30.0,242.0,2.0,-0.13699999999999998,0.391,0.071,0.519,-0.433,0.211
33.0,7.2,5.6,-2.5,0.4,18.0,2.0,346.0,1.0,0.07,0.394,0.298,0.447,-0.239,0.321,16.0,-8.2,-5.5,1.2,-0.2,29.0,30.0,282.0,3.0,-0.27399999999999997,0.371,-0.21100000000000002,0.429,-0.406,0.25
30.0,3.6,0.2,-2.5,-0.2,30.0,11.0,439.0,0.0,0.158,0.444,0.271,0.462,0.026000000000000002,0.424,8.0,-8.2,-5.5,3.6,-0.2,29.0,30.0,292.0,1.0,-0.19899999999999998,0.317,-0.146,0.3670000000000001,-0.433,0.091
10.0,-2.1,0.1,-2.5,-0.2,32.0,19.0,378.0,2.0,-0.13699999999999998,0.458,-0.107,0.462,-0.17300000000000001,0.455,7.0,-8.2,-5.5,-2.0,-0.2,29.0,30.0,256.0,2.0,-0.317,0.389,-0.413,0.395,-0.08900000000000001,0.375
28.0,-6.7,-4.0,-2.5,0.0,1.0,31.0,274.0,0.0,-0.046,0.417,0.19,0.333,-0.187,0.467,14.0,-8.2,-5.5,-2.7,-0.2,29.0,30.0,385.0,3.0,-0.033,0.403,-0.004,0.388,-0.083,0.429
19.0,-4.6,-2.6,-2.5,0.4,27.0,29.0,308.0,2.0,-0.147,0.45,0.036000000000000004,0.486,-0.44299999999999995,0.391,13.0,-8.2,-5.5,-2.4,-0.2,29.0,30.0,316.0,1.0,-0.061,0.382,0.002,0.488,-0.17,0.2
24.0,-2.2,-0.7,-2.5,-0.3,10.0,18.0,407.0,2.0,0.095,0.471,0.371,0.524,-0.318,0.393,21.0,-8.2,-5.5,-1.2,-0.2,29.0,30.0,249.0,2.0,-0.107,0.383,-0.081,0.442,-0.17300000000000001,0.235
16.0,-1.4,-1.8,-2.4,0.4,24.0,22.0,326.0,2.0,-0.079,0.421,0.142,0.481,-0.622,0.273,13.0,-4.6,-2.6,0.0,0.4,27.0,29.0,431.0,0.0,0.002,0.444,0.08199999999999999,0.481,-0.16,0.37
38.0,-3.9,4.5,-2.4,-0.5,26.0,15.0,537.0,0.0,0.39,0.541,0.691,0.619,-0.004,0.438,27.0,-4.6,-2.6,-7.8,0.4,27.0,29.0,412.0,2.0,0.18100000000000002,0.463,0.39,0.5,-0.315,0.375
30.0,-0.2,-2.2,-2.4,-0.1,21.0,21.0,402.0,1.0,-0.009000000000000001,0.434,-0.057999999999999996,0.4320000000000001,0.057999999999999996,0.438,6.0,-4.6,-2.6,2.1,0.4,27.0,29.0,215.0,4.0,-0.6579999999999999,0.246,-0.68,0.28600000000000003,-0.595,0.133
31.0,-0.2,-2.2,-2.4,-0.1,21.0,21.0,382.0,0.0,0.18899999999999997,0.449,0.434,0.512,-0.16899999999999998,0.35700000000000004,20.0,-4.6,-2.6,2.1,0.4,27.0,29.0,394.0,3.0,-0.019,0.444,0.063,0.5,-0.327,0.235
20.0,7.9,3.5,-2.4,-0.4,28.0,1.0,263.0,1.0,-0.091,0.362,-0.018000000000000002,0.447,-0.18100000000000002,0.258,9.0,-4.6,-2.6,4.8,0.4,27.0,29.0,265.0,3.0,-0.322,0.394,-0.445,0.362,-0.017,0.474
51.0,7.2,5.6,-2.4,0.4,18.0,2.0,471.0,0.0,0.429,0.603,0.532,0.604,0.265,0.6,17.0,-4.6,-2.6,1.2,0.4,27.0,29.0,293.0,1.0,-0.004,0.397,0.191,0.421,-0.374,0.35
28.0,3.6,0.2,-2.4,-0.2,30.0,11.0,290.0,0.0,-0.016,0.274,0.17800000000000002,0.368,-0.322,0.125,23.0,-4.6,-2.6,3.6,0.4,27.0,29.0,436.0,4.0,-0.034,0.409,0.036000000000000004,0.5,-0.255,0.125
31.0,-2.6,0.9,-2.4,-0.4,13.0,24.0,369.0,0.0,0.14,0.473,0.272,0.528,-0.195,0.333,25.0,-4.6,-2.6,-3.1,0.4,27.0,29.0,420.0,1.0,-0.027000000000000003,0.38,-0.009000000000000001,0.379,-0.10800000000000001,0.385
42.0,-8.2,-5.5,-2.4,-0.2,29.0,30.0,467.0,2.0,0.228,0.478,0.523,0.5529999999999999,-0.133,0.387,39.0,-4.6,-2.6,-2.5,0.4,27.0,29.0,383.0,1.0,0.21100000000000002,0.483,0.489,0.526,-0.316,0.4
23.0,-2.1,0.1,-2.4,-0.2,32.0,19.0,328.0,1.0,0.032,0.458,0.172,0.5,-0.16399999999999998,0.4,17.0,-4.6,-2.6,-2.0,0.4,27.0,29.0,370.0,1.0,-0.10800000000000001,0.508,-0.07400000000000001,0.523,-0.196,0.471
38.0,-3.2,0.1,-2.4,-0.4,31.0,25.0,369.0,0.0,0.11800000000000001,0.381,0.42,0.5770000000000001,-0.095,0.243,31.0,-4.6,-2.6,-2.8,0.4,27.0,29.0,325.0,2.0,0.065,0.5,0.301,0.561,-0.505,0.353
27.0,-1.4,-1.8,2.1,0.4,24.0,22.0,323.0,0.0,0.22699999999999998,0.468,0.366,0.588,0.057999999999999996,0.321,20.0,-0.2,-2.2,0.0,-0.1,21.0,21.0,444.0,2.0,0.066,0.513,0.273,0.6459999999999999,-0.29,0.28600000000000003
44.0,-2.6,-0.2,2.1,-0.3,20.0,28.0,503.0,1.0,0.23800000000000002,0.508,0.474,0.5710000000000001,0.024,0.452,26.0,-0.2,-2.2,-2.0,-0.1,21.0,21.0,322.0,1.0,-0.078,0.425,-0.025,0.455,-0.19399999999999998,0.36
30.0,1.7,0.7,2.1,-0.1,19.0,17.0,390.0,0.0,0.11599999999999999,0.361,0.125,0.407,0.11,0.324,21.0,-0.2,-2.2,1.1,-0.1,21.0,21.0,401.0,1.0,0.013999999999999999,0.425,0.09,0.5,-0.115,0.29600000000000004
24.0,7.9,3.5,2.1,-0.4,28.0,1.0,350.0,1.0,-0.046,0.378,-0.11,0.391,0.059000000000000004,0.35700000000000004,17.0,-0.2,-2.2,4.8,-0.1,21.0,21.0,300.0,1.0,-0.10300000000000001,0.337,-0.09,0.381,-0.138,0.217
30.0,6.8,2.4,2.1,1.0,9.0,5.0,314.0,1.0,0.044000000000000004,0.5,0.063,0.556,0.028999999999999998,0.455,0.0,-0.2,-2.2,3.3,-0.1,21.0,21.0,226.0,5.0,-0.435,0.254,-0.6859999999999999,0.308,-0.027000000000000003,0.16699999999999998
27.0,6.8,2.4,2.1,1.0,9.0,5.0,330.0,0.0,0.002,0.433,0.131,0.487,-0.177,0.35700000000000004,20.0,-0.2,-2.2,3.3,-0.1,21.0,21.0,396.0,2.0,-0.146,0.446,-0.11199999999999999,0.5,-0.239,0.3
27.0,7.2,5.6,2.1,0.4,18.0,2.0,313.0,1.0,0.02,0.469,0.11,0.528,-0.09699999999999999,0.393,6.0,-0.2,-2.2,1.2,-0.1,21.0,21.0,189.0,1.0,-0.502,0.28300000000000003,-0.6579999999999999,0.281,-0.264,0.28600000000000003
48.0,-2.1,0.1,2.1,-0.2,32.0,19.0,378.0,0.0,0.182,0.42,0.377,0.485,0.003,0.361,21.0,-0.2,-2.2,-2.0,-0.1,21.0,21.0,428.0,4.0,-0.18899999999999997,0.377,-0.10800000000000001,0.39,-0.452,0.333
27.0,-1.4,-1.8,8.3,0.4,24.0,22.0,365.0,0.0,0.11699999999999999,0.41,0.34,0.5,-0.172,0.294,24.0,5.9,-2.9,0.0,0.5,3.0,8.0,309.0,2.0,0.006,0.385,0.13,0.421,-0.32799999999999996,0.28600000000000003
34.0,7.1,4.9,8.3,0.3,5.0,9.0,377.0,2.0,0.002,0.421,0.071,0.484,-0.303,0.14300000000000002,27.0,5.9,-2.9,1.9,0.5,3.0,8.0,385.0,2.0,-0.08800000000000001,0.387,0.063,0.442,-0.429,0.261
29.0,6.8,2.4,8.3,1.0,9.0,5.0,303.0,0.0,-0.076,0.318,-0.08199999999999999,0.308,-0.068,0.333,13.0,5.9,-2.9,3.3,0.5,3.0,8.0,221.0,5.0,-0.28,0.386,-0.298,0.375,-0.20800000000000002,0.429
15.0,-2.2,-0.7,8.3,-0.3,10.0,18.0,126.0,0.0,-0.3,0.231,-0.22899999999999998,0.273,-0.424,0.158,12.0,5.9,-2.9,-1.2,0.5,3.0,8.0,310.0,2.0,-0.22,0.375,-0.17300000000000001,0.45,-0.361,0.15
24.0,-1.4,-1.8,-2.0,0.4,24.0,22.0,276.0,3.0,-0.136,0.429,0.09,0.513,-0.503,0.292,21.0,-2.1,0.1,0.0,-0.2,32.0,19.0,375.0,4.0,-0.145,0.373,-0.01,0.442,-0.451,0.217
20.0,-3.9,4.5,-2.0,-0.5,26.0,15.0,390.0,1.0,0.153,0.5,0.344,0.489,-0.255,0.524,17.0,-2.1,0.1,-7.8,-0.2,32.0,19.0,414.0,2.0,0.094,0.522,0.40700000000000003,0.615,-0.342,0.393
31.0,-3.9,4.5,-2.0,-0.5,26.0,15.0,385.0,0.0,0.131,0.479,0.406,0.585,-0.24600000000000002,0.333,21.0,-2.1,0.1,-7.8,-0.2,32.0,19.0,413.0,3.0,-0.031,0.479,0.13699999999999998,0.481,-0.44799999999999995,0.476
