Team,Unnamed: 0,OVERALL,OVERALL.1,OFFENSE,OFFENSE.1,DEFENSE,DEFENSE.1,SPECIAL TEAMS,SPECIAL TEAMS.1,Year
Carolina Panthers,W-L-T,EFF,RNK,EFF,RNK,EFF,RNK,EFF,RNK,2015
Kansas City Chiefs,17-2-0,74.5,1,66.6,3,73.5,2,47.1,23,2015
Arizona Cardinals,12-6-0,68.0,2,55.3,10,69.2,3,58.1,2,2015
New England Patriots,14-4-0,67.5,3,72.5,1,60.5,9,34.3,32,2015
Cincinnati Bengals,13-5-0,67.4,4,63.5,4,60.6,8,57.7,4,2015
Seattle Seahawks,12-5-0,66.7,5,62.8,5,62.0,6,53.3,14,2015
Denver Broncos,11-7-0,63.4,6,60.8,6,58.6,12,53.4,13,2015
Minnesota Vikings,15-4-0,60.3,7,35.3,29,75.3,1,58.0,3,2015
Pittsburgh Steelers,11-6-0,60.0,8,52.9,13,61.2,7,53.4,11,2015
New York Jets,11-7-0,59.1,9,56.9,8,60.0,11,43.3,28,2015
Green Bay Packers,10-6-0,57.5,10,52.5,14,65.5,4,35.6,30,2015
Washington Redskins,11-7-0,57.1,11,55.4,9,54.7,13,50.3,17,2015
New York Giants,9-8-0,50.7,12,54.9,11,46.6,17,48.1,20,2015
Houston Texans,6-10-0,49.9,13,59.0,7,38.4,29,57.2,6,2015
Buffalo Bills,9-8-0,49.7,14,41.3,22,62.4,5,41.1,29,2015
Atlanta Falcons,8-8-0,49.5,15,51.8,15,48.2,16,49.0,19,2015
St. Louis Rams,8-8-0,49.2,16,53.0,12,46.1,18,46.2,25,2015
Detroit Lions,7-9-0,46.2,17,31.2,32,60.3,10,53.4,12,2015
New Orleans Saints,7-9-0,45.3,18,50.4,17,39.8,26,55.6,8,2015
Oakland Raiders,7-9-0,45.0,19,68.2,2,22.1,32,53.6,10,2015
Philadelphia Eagles,7-9-0,44.9,20,44.8,19,48.4,15,47.7,21,2015
Indianapolis Colts,7-9-0,44.7,21,42.0,21,45.2,20,61.8,1,2015
Chicago Bears,8-8-0,43.3,22,38.2,23,51.5,14,50.0,18,2015
Tampa Bay Buccaneers,6-10-0,40.9,23,47.7,18,39.7,27,44.7,26,2015
San Diego Chargers,6-10-0,40.6,24,51.6,16,40.7,25,35.3,31,2015
Baltimore Ravens,4-12-0,38.8,25,43.9,20,38.6,28,47.5,22,2015
Dallas Cowboys,5-11-0,38.7,26,35.9,28,43.0,21,57.7,5,2015
Miami Dolphins,4-12-0,37.5,27,36.6,27,45.5,19,46.5,24,2015
Jacksonville Jaguars,6-10-0,37.4,28,36.9,25,41.4,22,56.5,7,2015
Tennessee Titans,5-11-0,36.8,29,37.2,24,40.9,24,53.8,9,2015
San Francisco 49ers,3-13-0,32.9,30,31.7,31,41.4,23,50.7,16,2015
Cleveland Browns,5-11-0,31.3,31,33.8,30,37.1,30,50.9,15,2015
,3-13-0,31.2,32,36.7,26,35.6,31,44.3,27,2015
