Team,W-L-T,EFF,RNK,EFF,RNK,EFF,RNK,EFF,RNK,Year
Kansas City Chiefs,8-1-0,74.6,1,86.0,1,48.1,9,48.9,17,2020
Baltimore Ravens,6-2-0,74.2,2,61.2,19,65.3,1,78.4,1,2020
Pittsburgh Steelers,8-0-0,72.3,3,73.7,10,63.7,2,41.4,26,2020
Green Bay Packers,6-2-0,70.4,4,85.8,2,29.5,24,63.5,5,2020
Indianapolis Colts,6-3-0,64.6,5,59.8,20,55.3,5,66.9,4,2020
Seattle Seahawks,6-2-0,63.6,6,79.6,3,37.3,17,61.2,7,2020
Tampa Bay Buccaneers,6-3-0,62.4,7,63.8,16,57.0,4,45.3,22,2020
Miami Dolphins,5-3-0,62.1,8,64.4,14,42.4,14,77.7,2,2020
New Orleans Saints,6-2-0,60.8,9,76.7,5,35.2,18,54.2,13,2020
Buffalo Bills,7-2-0,60.0,10,77.1,4,35.1,19,52.7,14,2020
Arizona Cardinals,5-3-0,58.8,11,67.8,12,46.0,10,46.2,19,2020
Los Angeles Rams,5-3-0,57.9,12,59.7,21,62.1,3,25.9,32,2020
Tennessee Titans,6-3-0,53.7,13,74.0,8,37.7,16,32.4,28,2020
Cleveland Browns,5-3-0,53.5,14,73.8,9,35.1,20,44.3,23,2020
San Francisco 49ers,4-5-0,51.7,15,61.7,18,42.9,12,42.8,25,2020
Atlanta Falcons,3-6-0,51.6,16,69.0,11,32.2,22,44.1,24,2020
Las Vegas Raiders,5-3-0,50.7,17,76.1,6,22.8,28,55.4,12,2020
Minnesota Vikings,3-5-0,49.1,18,75.0,7,34.4,21,29.8,29,2020
Los Angeles Chargers,2-6-0,48.1,19,63.0,17,42.8,13,26.6,31,2020
Cincinnati Bengals,2-5-1,46.0,20,59.2,22,30.1,23,58.2,8,2020
Carolina Panthers,3-6-0,45.1,21,66.8,13,29.0,25,45.3,20,2020
Philadelphia Eagles,3-4-1,43.3,22,41.8,26,49.8,7,45.3,21,2020
Chicago Bears,5-4-0,42.8,23,33.3,31,52.7,6,57.4,9,2020
New England Patriots,3-5-0,40.5,24,52.7,25,28.6,26,56.4,10,2020
New York Giants,2-7-0,39.2,25,34.0,30,42.3,15,68.8,3,2020
Denver Broncos,3-5-0,36.3,26,34.1,29,45.3,11,49.1,16,2020
Detroit Lions,3-5-0,36.1,27,58.6,23,19.3,30,63.5,6,2020
Washington,2-6-0,34.6,28,36.5,28,48.4,8,29.1,30,2020
Houston Texans,2-6-0,33.8,29,64.3,15,17.7,31,56.2,11,2020
Dallas Cowboys,2-7-0,28.2,30,38.1,27,27.9,27,50.0,15,2020
Jacksonville Jaguars,1-7-0,27.2,31,55.0,24,16.0,32,48.6,18,2020
New York Jets,0-9-0,16.4,32,27.5,32,22.6,29,38.0,27,2020
