Team,W-L-T,EFF,RNK,EFF,RNK,EFF,RNK,EFF,RNK,Year
Kansas City Chiefs,13-5-0,70.0,1,85.3,1,39.2,26,59.3,6,2018
Chicago Bears,12-5-0,69.3,2,58.9,10,76.3,1,34.5,30,2018
New England Patriots,14-5-0,68.7,3,71.3,4,56.4,8,47.6,19,2018
Los Angeles Rams,15-4-0,66.7,4,74.0,3,49.5,13,50.9,15,2018
New Orleans Saints,14-4-0,65.8,5,74.1,2,40.1,24,67.0,2,2018
Los Angeles Chargers,13-5-0,62.6,6,64.8,6,60.1,5,39.8,27,2018
Baltimore Ravens,10-7-0,59.4,7,49.6,18,60.5,4,59.9,5,2018
Houston Texans,11-6-0,58.8,8,54.3,14,60.0,6,49.0,18,2018
Pittsburgh Steelers,9-6-1,58.2,9,66.0,5,47.3,17,45.5,21,2018
Indianapolis Colts,11-7-0,56.9,10,58.2,12,50.0,12,54.3,11,2018
Seattle Seahawks,10-7-0,56.4,11,60.5,8,48.1,16,51.9,14,2018
Philadelphia Eagles,10-8-0,53.0,12,53.7,15,49.4,14,52.7,13,2018
Dallas Cowboys,11-7-0,52.4,13,56.1,13,50.2,11,42.4,24,2018
Minnesota Vikings,8-7-1,51.7,14,44.4,22,63.3,2,38.5,29,2018
Carolina Panthers,7-9-0,49.3,15,60.2,9,39.6,25,45.4,22,2018
Tennessee Titans,9-7-0,49.0,16,43.9,23,52.8,9,54.8,10,2018
Atlanta Falcons,7-9-0,48.6,17,64.6,7,34.4,31,50.7,17,2018
Cleveland Browns,7-8-1,45.4,18,45.7,20,51.1,10,41.8,26,2018
Green Bay Packers,6-9-1,43.7,19,58.4,11,39.2,27,34.4,31,2018
Detroit Lions,6-10-0,43.1,20,48.4,19,36.4,29,59.2,7,2018
Washington Redskins,7-9-0,42.6,21,37.8,26,46.6,18,60.6,4,2018
New York Giants,5-11-0,42.5,22,45.7,21,44.4,21,47.5,20,2018
Denver Broncos,6-10-0,40.2,23,42.3,24,45.1,19,44.1,23,2018
Cincinnati Bengals,6-10-0,40.1,24,50.8,17,38.7,28,42.0,25,2018
Jacksonville Jaguars,5-11-0,40.0,25,23.4,31,60.7,3,55.8,9,2018
Miami Dolphins,7-9-0,39.0,26,33.1,28,42.4,22,67.6,1,2018
Tampa Bay Buccaneers,5-11-0,38.9,27,52.4,16,34.7,30,39.1,28,2018
San Francisco 49ers,4-12-0,37.1,28,37.9,25,40.5,23,53.0,12,2018
New York Jets,4-12-0,36.9,29,27.4,29,44.6,20,66.3,3,2018
Buffalo Bills,6-10-0,35.9,30,26.6,30,59.9,7,33.9,32,2018
Arizona Cardinals,3-13-0,27.7,31,15.7,32,48.4,15,56.0,8,2018
Oakland Raiders,4-12-0,27.6,32,37.7,27,26.3,32,50.8,16,2018
