,Pts,FPI
102,30.0,-3.2
103,10.0,-3.2
104,23.0,-3.2
105,23.0,-3.2
106,14.0,-3.2
107,18.0,-3.2
108,21.0,-3.2
109,12.0,-2.6
110,14.0,-2.6
111,17.0,-2.6
112,7.0,-2.6
113,14.0,-2.6
114,20.0,-2.6
115,14.0,-2.6
116,14.0,-2.6
117,20.0,-2.6
118,24.0,-2.6
119,16.0,-2.6
120,24.0,-2.6
121,13.0,-2.6
122,13.0,-2.6
123,20.0,-2.6
124,6.0,-2.6
125,14.0,-2.6
126,18.0,-2.6
127,30.0,-2.6
128,20.0,-2.6
129,33.0,-2.6
130,19.0,-2.6
131,20.0,-2.6
132,20.0,-2.6
133,3.0,-2.6
134,3.0,-2.6
135,3.0,-2.6
136,14.0,-2.6
137,20.0,-2.6
138,29.0,-2.6
139,20.0,-2.6
140,26.0,-2.6
141,19.0,-2.6
142,21.0,6.8
143,24.0,6.8
144,10.0,6.8
145,28.0,6.8
146,20.0,6.8
147,17.0,6.8
148,24.0,8.8
149,24.0,8.8
150,23.0,8.8
151,17.0,8.8
152,32.0,8.8
153,31.0,8.8
154,17.0,8.8
155,21.0,1.7
156,25.0,1.7
157,20.0,1.7
158,22.0,1.7
159,32.0,1.7
160,13.0,1.7
161,31.0,1.7
162,10.0,1.7
163,10.0,7.1
164,16.0,7.1
165,30.0,7.1
166,13.0,7.1
167,21.0,7.1
168,20.0,7.1
169,17.0,7.1
170,10.0,-6.7
171,3.0,-6.7
172,12.0,-6.7
173,9.0,-6.7
174,23.0,-6.7
175,13.0,-6.7
176,13.0,-6.7
177,20.0,-6.7
178,6.0,-6.7
179,10.0,-6.7
180,27.0,-6.7
181,20.0,-6.7
182,27.0,-6.7
183,7.0,-3.8
184,6.0,-3.8
185,10.0,-3.8
186,16.0,-3.8
187,18.0,-3.8
188,10.0,-3.8
189,3.0,-3.8
190,13.0,-3.8
191,13.0,-3.8
192,20.0,-4.2
193,6.0,-4.2
194,23.0,-4.2
195,27.0,-4.2
196,14.0,-4.2
197,12.0,-4.2
198,7.0,-4.2
199,6.0,-4.2
200,16.0,-4.2
201,28.0,-4.2
202,6.0,-4.2
203,20.0,-4.2
204,21.0,-1.4
205,10.0,-1.4
206,10.0,-1.4
207,14.0,-1.4
208,26.0,-1.4
209,27.0,-1.4
210,7.0,-1.4
211,16.0,-1.4
212,49.0,-2.1
213,14.0,-2.1
214,30.0,-2.1
215,7.0,-2.1
216,35.0,-2.1
217,17.0,-2.1
218,26.0,-2.1
219,20.0,-2.1
220,26.0,-2.1
221,20.0,-2.1
222,10.0,7.2
223,28.0,7.2
224,18.0,7.2
225,24.0,7.2
226,20.0,7.2
227,10.0,-2.8
228,16.0,-2.8
229,18.0,-2.8
230,10.0,-2.8
231,20.0,-2.8
232,16.0,-2.8
233,19.0,-2.8
234,21.0,-2.8
235,6.0,4.1
236,16.0,4.1
237,20.0,4.1
238,17.0,4.1
239,31.0,4.1
240,17.0,3.6
241,17.0,3.6
242,17.0,3.6
243,17.0,3.6
244,23.0,3.6
245,20.0,3.6
246,13.0,8.3
247,15.0,8.3
248,6.0,8.3
249,22.0,8.3
250,10.0,7.9
251,13.0,7.9
252,12.0,-2.0
253,10.0,-2.0
254,10.0,-2.0
255,16.0,-2.0
256,19.0,-2.0
257,23.0,-2.0
258,17.0,-2.0
259,14.0,-2.0
260,28.0,-2.0
261,20.0,2.8
262,3.0,2.8
263,9.0,2.8
264,7.0,2.8
265,13.0,2.8
266,20.0,2.8
267,24.0,-9.7
268,9.0,-9.7
269,26.0,-9.7
270,17.0,-9.7
271,10.0,-9.7
272,10.0,-9.7
273,13.0,-9.7
274,28.0,-9.7
275,13.0,-9.7
276,20.0,-9.7
277,7.0,-9.7
278,10.0,-9.7
279,13.0,-9.7
280,24.0,-9.7
281,20.0,-9.7
282,12.0,-2.9
283,17.0,-2.9
284,7.0,-2.9
285,14.0,-2.9
286,24.0,-2.9
287,10.0,-2.9
288,6.0,-2.9
289,16.0,3.5
290,14.0,3.5
291,17.0,3.5
292,17.0,3.5
293,12.0,3.5
294,16.0,1.0
295,10.0,1.0
296,23.0,1.0
297,17.0,1.0
298,15.0,1.0
299,23.0,1.0
300,26.0,1.0
301,16.0,1.6
