,Pts,FPI
268,30.0,3.8
269,18.0,3.8
270,38.0,3.8
271,24.0,3.8
272,43.0,3.8
273,31.0,3.8
274,24.0,3.8
275,28.0,3.8
276,24.0,3.8
277,27.0,3.8
278,24.0,3.8
279,31.0,3.8
280,38.0,1.7
281,25.0,1.7
282,17.0,1.7
283,22.0,1.7
284,24.0,1.7
285,31.0,1.7
286,30.0,1.7
287,25.0,1.7
288,24.0,-2.6
289,16.0,-2.6
290,30.0,-2.6
291,28.0,-2.6
292,36.0,-2.6
293,47.0,-2.6
294,27.0,-2.6
295,13.0,-2.6
296,19.0,-2.6
297,24.0,0.7
298,26.0,0.7
299,29.0,0.7
300,34.0,0.7
301,31.0,0.7
302,24.0,0.7
303,41.0,0.7
304,34.0,0.7
305,27.0,1.6
306,23.0,1.6
307,22.0,1.6
308,31.0,1.6
309,32.0,1.6
310,23.0,1.6
311,27.0,0.0
312,29.0,0.0
313,29.0,0.0
314,34.0,0.0
315,21.0,0.0
316,24.0,0.0
317,24.0,0.0
318,17.0,-0.7
319,31.0,-0.7
320,17.0,-0.7
321,34.0,-0.7
322,36.0,-0.7
323,19.0,-0.7
324,14.0,-0.7
325,28.0,-0.7
326,16.0,-0.7
327,35.0,10.0
328,34.0,10.0
329,36.0,10.0
330,34.0,10.0
331,23.0,10.0
332,31.0,10.0
333,27.0,10.0
334,33.0,10.0
335,35.0,10.0
336,27.0,10.0
337,41.0,10.0
338,30.0,10.0
339,22.0,10.0
340,26.0,10.0
341,30.0,10.0
342,16.0,10.0
343,41.0,10.0
344,30.0,-6.4
345,37.0,-6.4
346,24.0,-6.4
347,31.0,-6.4
348,23.0,-6.4
349,24.0,4.0
350,21.0,4.0
351,34.0,4.0
352,29.0,4.0
353,27.0,4.0
354,27.0,4.0
355,27.0,4.0
356,25.0,4.0
357,20.0,4.0
358,37.0,3.5
359,33.0,3.5
360,24.0,3.5
361,26.0,3.5
362,27.0,3.5
363,30.0,3.5
364,19.0,3.5
365,20.0,3.5
366,30.0,3.5
367,29.0,3.5
368,21.0,3.5
369,33.0,3.5
370,38.0,7.8
371,36.0,7.8
372,44.0,7.8
373,35.0,7.8
374,45.0,7.8
375,48.0,7.8
376,23.0,7.8
377,33.0,7.8
378,43.0,7.8
379,38.0,7.8
380,42.0,7.8
381,41.0,7.8
382,33.0,7.8
383,19.0,-0.3
384,20.0,-0.3
385,16.0,-0.3
386,27.0,-0.3
387,17.0,-0.3
388,28.0,-0.3
389,21.0,-0.3
390,22.0,-0.3
391,27.0,-0.3
392,10.0,-0.3
393,17.0,-0.3
394,25.0,4.1
395,26.0,4.1
396,12.0,4.1
397,37.0,4.1
398,27.0,4.1
399,26.0,4.1
400,6.0,4.1
401,31.0,4.1
402,31.0,4.1
403,26.0,4.1
404,40.0,4.1
405,24.0,4.1
406,44.0,3.6
407,40.0,3.6
408,33.0,3.6
409,28.0,3.6
410,23.0,3.6
411,31.0,3.6
412,34.0,3.6
413,31.0,4.4
414,38.0,4.4
415,34.0,4.4
416,27.0,4.4
417,34.0,4.4
418,23.0,4.4
419,26.0,4.4
420,27.0,4.4
421,21.0,4.4
422,38.0,4.4
423,30.0,4.4
424,38.0,4.4
425,27.0,-1.2
426,23.0,-1.2
427,19.0,-1.2
428,27.0,-1.2
429,26.0,-1.2
430,20.0,-1.2
431,24.0,-1.2
432,22.0,-1.2
433,21.0,-1.2
434,12.0,-1.2
435,13.0,-0.4
436,25.0,-0.4
437,19.0,-0.4
438,21.0,-0.4
439,28.0,-0.4
440,19.0,-0.4
441,38.0,-0.4
442,27.0,-0.4
443,35.0,-0.1
444,17.0,-0.1
445,28.0,-0.1
446,34.0,-0.1
447,33.0,-0.1
448,30.0,-0.1
449,30.0,-0.1
450,27.0,-0.1
451,35.0,-0.1
452,38.0,-0.1
453,19.0,-0.1
454,33.0,-0.1
455,39.0,-3.3
456,24.0,-3.3
457,31.0,-3.3
458,20.0,-3.3
459,22.0,-3.3
460,26.0,-3.3
461,16.0,-3.3
462,28.0,-3.3
463,20.0,-3.3
464,28.0,-6.2
465,22.0,-6.2
466,46.0,0.8
467,30.0,0.8
468,13.0,0.8
469,23.0,0.8
470,28.0,0.8
471,26.0,0.8
472,27.0,4.3
473,31.0,4.3
474,24.0,4.3
475,28.0,4.3
476,30.0,4.3
477,29.0,4.3
478,35.0,4.3
479,35.0,4.3
480,27.0,4.3
481,31.0,4.3
482,17.0,4.3
