,Abbr,EPA/play,Success Rate (SR),Dropback EPA,Dropback SR,Rush EPA,Rush SR,week,year
710,DEN,0.124,44.6%,0.355,53.3%,-0.397,25.0%,3,2016
711,SEA,0.071,41.2%,0.36700000000000005,51.4%,-0.244,30.3%,3,2016
712,NO,0.049,51.2%,-0.038,50.0%,0.27899999999999997,54.5%,3,2016
713,CLE,0.043,43.8%,-0.018000000000000002,41.7%,0.136,46.9%,3,2016
714,NYG,0.033,47.8%,0.07200000000000001,52.3%,-0.042,39.1%,3,2016
715,LA,0.032,42.9%,-0.07400000000000001,43.3%,0.129,42.4%,3,2016
716,LV,0.001,35.9%,0.054000000000000006,40.0%,-0.08800000000000001,29.2%,3,2016
717,TB,-0.01,48.3%,-0.024,53.0%,0.035,33.3%,3,2016
718,CIN,-0.034,39.4%,-0.036000000000000004,46.3%,-0.031,28.0%,3,2016
719,NE,-0.037000000000000005,38.3%,-0.129,36.0%,0.028999999999999998,40.0%,3,2016
720,CHI,-0.040999999999999995,42.9%,-0.03,46.0%,-0.084,30.8%,3,2016
721,LAC,-0.042,40.7%,0.043,48.8%,-0.271,18.8%,3,2016
722,MIA,-0.077,43.9%,-0.127,48.8%,0.004,36.0%,3,2016
723,IND,-0.081,46.5%,-0.057,56.8%,-0.121,29.6%,3,2016
724,BUF,-0.084,37.7%,-0.285,25.8%,0.12300000000000001,50.0%,3,2016
725,MIN,-0.11,32.7%,-0.024,43.3%,-0.228,18.2%,3,2016
726,KC,-0.121,36.7%,0.253,45.7%,-0.643,24.0%,3,2016
727,SF,-0.133,32.1%,-0.314,33.3%,0.035,31.0%,3,2016
728,TEN,-0.157,39.7%,-0.354,33.3%,0.10800000000000001,48.3%,3,2016
729,BAL,-0.16899999999999998,42.4%,-0.247,41.3%,0.013000000000000001,45.0%,3,2016
730,CAR,-0.21,36.4%,-0.29,36.0%,-0.062,37.0%,3,2016
731,PIT,-0.21600000000000003,31.7%,-0.214,35.3%,-0.22699999999999998,11.1%,3,2016
732,JAX,-0.23399999999999999,36.4%,-0.207,43.5%,-0.29600000000000004,20.0%,3,2016
733,HOU,-0.252,45.1%,-0.302,48.9%,-0.16699999999999998,38.5%,3,2016
734,ARI,-0.27399999999999997,40.2%,-0.192,42.4%,-0.484,34.8%,3,2016
735,NYJ,-0.355,41.2%,-0.586,37.0%,0.128,50.0%,3,2016
736,NE,0.087,48.5%,0.19899999999999998,53.4%,-0.256,33.3%,21,2016
737,ATL,0.068,50.0%,0.095,55.2%,0.027000000000000003,42.1%,21,2016
738,ATL,0.414,50.7%,0.852,66.7%,-0.221,27.6%,20,2016
739,NE,0.256,51.4%,0.434,58.7%,-0.085,37.5%,20,2016
740,GB,0.16,47.0%,0.268,50.0%,-0.242,35.7%,20,2016
741,PIT,-0.021,45.6%,0.063,54.2%,-0.222,25.0%,20,2016
742,ATL,0.348,61.5%,0.5820000000000001,66.7%,0.057999999999999996,55.2%,2,2016
743,NYJ,0.282,50.7%,0.522,60.0%,-0.009000000000000001,39.4%,2,2016
744,DAL,0.187,48.5%,0.494,56.4%,-0.225,37.9%,2,2016
745,LV,0.187,54.7%,0.27,56.0%,0.021,52.0%,2,2016
746,TEN,0.179,53.8%,0.23399999999999999,58.5%,0.085,45.8%,2,2016
747,NE,0.159,46.8%,0.31,51.2%,-0.022000000000000002,41.7%,2,2016
748,ARI,0.14800000000000002,36.4%,0.36200000000000004,44.4%,-0.109,26.7%,2,2016
749,LAC,0.147,45.6%,0.295,50.0%,0.016,41.7%,2,2016
750,BUF,0.131,43.1%,0.39,44.1%,-0.386,41.2%,2,2016
751,CAR,0.076,41.5%,0.242,46.7%,-0.126,35.1%,2,2016
752,DEN,0.07200000000000001,54.3%,0.191,61.5%,-0.079,45.2%,2,2016
753,CLE,0.063,31.1%,0.198,39.5%,-0.16,17.4%,2,2016
754,WAS,0.057999999999999996,48.5%,0.122,54.0%,-0.14300000000000002,31.3%,2,2016
755,MIA,0.052000000000000005,60.3%,0.24100000000000002,66.7%,-0.7490000000000001,33.3%,2,2016
756,PHI,0.033,41.2%,0.078,40.0%,-0.031,42.9%,2,2016
757,PIT,-0.012,40.5%,0.188,43.6%,-0.235,37.1%,2,2016
758,BAL,-0.027999999999999997,40.0%,0.133,47.9%,-0.315,25.9%,2,2016
759,LA,-0.031,35.0%,0.08,38.9%,-0.198,29.2%,2,2016
760,DET,-0.042,38.0%,0.036000000000000004,40.7%,-0.21,32.0%,2,2016
761,CIN,-0.043,36.8%,0.044000000000000004,45.0%,-0.369,6.3%,2,2016
762,MIN,-0.043,36.8%,0.203,47.2%,-0.46299999999999997,19.0%,2,2016
763,GB,-0.07200000000000001,40.8%,0.102,50.0%,-0.48700000000000004,19.0%,2,2016
764,SEA,-0.079,37.9%,-0.048,40.0%,-0.146,33.3%,2,2016
765,NO,-0.081,42.6%,-0.04,44.7%,-0.217,35.7%,2,2016
766,NYG,-0.091,46.7%,0.057,55.3%,-0.33899999999999997,32.1%,2,2016
767,JAX,-0.10800000000000001,45.5%,-0.10400000000000001,47.4%,-0.134,33.3%,2,2016
768,IND,-0.159,40.8%,-0.185,42.3%,-0.086,36.8%,2,2016
769,HOU,-0.18,35.7%,0.003,50.0%,-0.375,20.6%,2,2016
770,SF,-0.262,32.3%,-0.121,34.1%,-0.503,29.2%,2,2016
771,TB,-0.278,39.7%,-0.327,40.0%,-0.11699999999999999,38.9%,2,2016
772,CHI,-0.332,50.0%,-0.376,47.1%,-0.249,55.6%,2,2016
773,KC,-0.363,32.8%,-0.187,33.3%,-0.782,31.6%,2,2016
774,GB,0.305,50.0%,0.36700000000000005,52.0%,0.113,43.8%,19,2016
775,ATL,0.261,52.9%,0.40700000000000003,53.7%,0.038,51.9%,19,2016
776,DAL,0.161,54.5%,0.193,56.8%,0.096,50.0%,19,2016
777,PIT,0.033,49.2%,-0.129,37.5%,0.2,61.3%,19,2016
778,KC,-0.027999999999999997,40.7%,-0.024,39.0%,-0.043,46.2%,19,2016
779,NE,-0.038,39.4%,0.013999999999999999,37.2%,-0.136,43.5%,19,2016
780,SEA,-0.057,40.7%,-0.013999999999999999,41.0%,-0.17,40.0%,19,2016
781,HOU,-0.324,34.8%,-0.425,38.3%,-0.10800000000000001,27.3%,19,2016
782,SEA,0.226,47.1%,0.349,54.3%,0.10300000000000001,40.0%,18,2016
783,PIT,0.16899999999999998,47.3%,0.198,52.2%,0.147,43.8%,18,2016
784,GB,0.141,42.9%,0.35600000000000004,50.0%,-0.27,29.2%,18,2016
785,HOU,-0.079,35.2%,0.16,46.9%,-0.275,25.6%,18,2016
786,NYG,-0.126,38.1%,-0.09300000000000001,42.6%,-0.225,25.0%,18,2016
787,MIA,-0.18600000000000003,36.9%,-0.111,44.4%,-0.35600000000000004,20.0%,18,2016
788,DET,-0.209,36.5%,-0.201,43.6%,-0.23399999999999999,15.4%,18,2016
789,LV,-0.321,28.8%,-0.39799999999999996,28.8%,-0.13,28.6%,18,2016
790,ATL,0.377,50.8%,0.547,66.7%,0.076,22.7%,17,2016
791,GB,0.308,60.6%,0.364,59.2%,0.182,63.6%,17,2016
792,NE,0.27699999999999997,56.1%,0.44,59.5%,0.07,51.7%,17,2016
793,NO,0.19399999999999998,45.9%,0.14400000000000002,45.1%,0.305,47.8%,17,2016
794,MIN,0.142,45.0%,0.287,58.3%,-0.075,25.0%,17,2016
795,CIN,0.136,49.2%,0.145,54.8%,0.128,44.1%,17,2016
796,KC,0.129,50.8%,0.43200000000000005,67.6%,-0.253,29.6%,17,2016
797,DET,0.124,47.0%,0.198,53.3%,-0.036000000000000004,33.3%,17,2016
798,SEA,0.09300000000000001,41.3%,0.153,43.9%,-0.02,36.4%,17,2016
799,LAC,0.081,48.5%,0.07200000000000001,47.5%,0.095,50.0%,17,2016
800,PIT,0.046,38.0%,0.22399999999999998,44.2%,-0.22699999999999998,28.6%,17,2016
801,CLE,0.040999999999999995,50.0%,0.114,47.8%,-0.064,53.1%,17,2016
802,PHI,0.039,48.7%,0.11,51.1%,-0.076,44.8%,17,2016
803,JAX,0.036000000000000004,49.3%,0.006,53.5%,0.079,43.3%,17,2016
804,ARI,0.033,40.0%,0.11199999999999999,44.4%,-0.109,32.0%,17,2016
805,DEN,0.006,36.1%,0.281,48.5%,-0.226,25.6%,17,2016
806,HOU,-0.035,40.3%,0.009000000000000001,44.2%,-0.149,30.0%,17,2016
807,IND,-0.052000000000000005,46.4%,0.013000000000000001,47.9%,-0.19899999999999998,42.9%,17,2016
808,TEN,-0.066,33.3%,-0.057999999999999996,37.5%,-0.075,28.6%,17,2016
809,NYG,-0.099,33.8%,-0.085,36.7%,-0.11,31.7%,17,2016
810,NYJ,-0.115,36.1%,0.17300000000000001,45.2%,-0.413,26.7%,17,2016
811,BAL,-0.142,45.8%,-0.24100000000000002,45.5%,0.17800000000000002,47.1%,17,2016
812,CAR,-0.14300000000000002,42.0%,-0.195,45.9%,-0.083,37.5%,17,2016
813,SF,-0.171,41.7%,0.10300000000000001,37.9%,-0.428,45.2%,17,2016
814,MIA,-0.172,44.1%,-0.08900000000000001,54.3%,-0.294,29.2%,17,2016
815,TB,-0.172,33.9%,-0.223,37.5%,-0.08,27.3%,17,2016
816,DAL,-0.223,40.0%,-0.207,43.2%,-0.258,33.3%,17,2016
817,CHI,-0.264,49.2%,-0.406,59.1%,-0.179,43.2%,17,2016
818,WAS,-0.317,36.4%,-0.29,41.0%,-0.384,25.0%,17,2016
819,BUF,-0.408,35.5%,-0.397,41.7%,-0.423,26.9%,17,2016
820,LV,-0.455,37.7%,-0.428,43.2%,-0.518,25.0%,17,2016
821,LA,-0.726,30.0%,-0.9670000000000001,31.6%,-0.31,27.3%,17,2016
822,DAL,0.45,53.6%,0.748,64.3%,0.153,42.9%,16,2016
823,WAS,0.381,54.5%,0.376,50.0%,0.386,58.8%,16,2016
824,MIA,0.267,46.3%,0.25,41.4%,0.28,50.0%,16,2016
825,ATL,0.243,50.8%,0.29,50.0%,0.162,52.2%,16,2016
826,LV,0.213,47.9%,0.34700000000000003,52.6%,0.068,42.9%,16,2016
827,PIT,0.20600000000000002,65.5%,0.182,64.7%,0.24600000000000002,66.7%,16,2016
828,NE,0.185,43.7%,0.512,55.9%,-0.11599999999999999,32.4%,16,2016
829,BUF,0.179,52.2%,0.425,48.9%,-0.067,55.6%,16,2016
830,NO,0.162,55.2%,0.23,56.4%,0.067,53.6%,16,2016
831,KC,0.154,44.0%,0.16,47.5%,0.147,40.0%,16,2016
832,GB,0.149,42.4%,0.309,51.1%,-0.365,14.3%,16,2016
833,TB,0.125,52.5%,0.16699999999999998,53.5%,0.026000000000000002,50.0%,16,2016
834,ARI,0.105,45.8%,0.381,46.7%,-0.18,44.8%,16,2016
835,JAX,0.091,50.7%,0.317,57.8%,-0.299,38.5%,16,2016
836,LAC,0.086,37.3%,0.257,44.7%,-0.315,20.0%,16,2016
837,IND,0.067,57.4%,0.273,61.8%,-0.28300000000000003,50.0%,16,2016
838,BAL,0.064,37.3%,0.099,37.5%,0.001,37.0%,16,2016
839,CLE,0.032,35.2%,0.095,40.0%,-0.077,26.9%,16,2016
840,DET,0.02,45.1%,-0.075,45.1%,0.263,45.0%,16,2016
841,MIN,0.013999999999999999,45.5%,0.111,45.6%,-0.263,45.0%,16,2016
842,SEA,-0.01,39.0%,0.142,45.5%,-0.319,25.9%,16,2016
843,CHI,-0.013000000000000001,52.9%,-0.10300000000000001,52.3%,0.139,53.8%,16,2016
844,PHI,-0.026000000000000002,38.9%,0.221,50.0%,-0.292,26.9%,16,2016
845,NYG,-0.047,42.7%,-0.053,46.0%,-0.033,34.6%,16,2016
846,SF,-0.059000000000000004,43.1%,0.07400000000000001,53.2%,-0.309,24.0%,16,2016
847,HOU,-0.134,35.9%,-0.102,41.5%,-0.192,26.1%,16,2016
848,CIN,-0.149,42.9%,-0.129,43.2%,-0.196,42.1%,16,2016
849,TEN,-0.168,39.7%,-0.138,40.8%,-0.24600000000000002,36.8%,16,2016
850,CAR,-0.183,36.8%,-0.35200000000000004,32.7%,0.255,47.4%,16,2016
851,LA,-0.18899999999999997,31.0%,-0.28300000000000003,35.5%,-0.08,25.9%,16,2016
852,DEN,-0.24600000000000002,35.0%,-0.319,28.9%,-0.026000000000000002,53.3%,16,2016
853,NYJ,-0.354,37.5%,-0.5429999999999999,32.1%,-0.166,42.9%,16,2016
854,ATL,0.321,55.2%,0.915,69.2%,-0.055999999999999994,46.3%,15,2016
855,BUF,0.249,56.7%,0.331,54.8%,0.179,58.3%,15,2016
856,ARI,0.248,60.3%,0.195,60.5%,0.39899999999999997,60.0%,15,2016
857,NO,0.23,51.2%,0.29600000000000004,51.9%,0.11199999999999999,50.0%,15,2016
858,SEA,0.215,42.4%,0.48100000000000004,57.6%,-0.121,23.1%,15,2016
859,PIT,0.19699999999999998,52.9%,0.36700000000000005,53.5%,-0.075,51.9%,15,2016
860,GB,0.196,45.0%,0.036000000000000004,46.2%,0.493,42.9%,15,2016
861,IND,0.18100000000000002,50.0%,0.522,61.3%,-0.091,41.0%,15,2016
862,MIA,0.18,35.4%,0.79,55.0%,-0.256,21.4%,15,2016
863,CHI,0.08199999999999999,54.5%,0.134,63.0%,-0.038,35.0%,15,2016
864,CAR,0.042,41.7%,0.081,43.9%,-0.01,38.7%,15,2016
865,DAL,0.027999999999999997,49.3%,0.031,50.0%,0.024,48.3%,15,2016
866,NYG,0.0,44.4%,0.135,45.2%,-0.13,43.8%,15,2016
867,CIN,-0.006,44.8%,0.012,50.0%,-0.026000000000000002,39.3%,15,2016
868,LV,-0.022000000000000002,44.1%,0.195,51.4%,-0.33899999999999997,33.3%,15,2016
869,TEN,-0.025,49.2%,-0.22399999999999998,37.1%,0.223,64.3%,15,2016
870,CLE,-0.031,37.5%,0.04,39.5%,-0.18100000000000002,33.3%,15,2016
871,PHI,-0.044000000000000004,44.0%,-0.073,41.7%,-0.004,47.2%,15,2016
872,BAL,-0.057,37.5%,-0.179,42.4%,0.11900000000000001,30.4%,15,2016
873,KC,-0.061,38.6%,-0.046,38.7%,-0.079,38.5%,15,2016
874,SF,-0.063,40.0%,0.022000000000000002,38.9%,-0.22399999999999998,42.1%,15,2016
875,NE,-0.081,39.2%,0.009000000000000001,45.7%,-0.161,33.3%,15,2016
876,LAC,-0.111,38.2%,0.073,42.4%,-0.38799999999999996,31.8%,15,2016
877,TB,-0.113,39.3%,-0.039,40.5%,-0.276,36.8%,15,2016
878,DET,-0.146,38.7%,0.036000000000000004,46.7%,-0.628,17.6%,15,2016
879,HOU,-0.151,41.5%,-0.076,47.2%,-0.28800000000000003,31.0%,15,2016
880,WAS,-0.258,41.3%,-0.19,49.0%,-0.546,8.3%,15,2016
881,NYJ,-0.281,36.8%,-0.344,32.7%,-0.11699999999999999,47.6%,15,2016
882,MIN,-0.308,46.6%,-0.213,51.0%,-0.826,22.2%,15,2016
883,JAX,-0.316,28.3%,-0.364,26.5%,-0.231,31.6%,15,2016
884,LA,-0.322,34.4%,-0.289,36.4%,-0.406,29.4%,15,2016
885,DEN,-0.33299999999999996,38.7%,-0.364,44.4%,-0.253,23.5%,15,2016
886,WAS,0.266,46.7%,0.285,52.0%,0.243,40.0%,14,2016
887,GB,0.174,45.5%,0.46399999999999997,51.9%,-0.107,39.3%,14,2016
888,ATL,0.147,37.9%,0.39,45.5%,-0.174,28.0%,14,2016
889,NE,0.138,45.6%,0.281,47.6%,-0.09300000000000001,42.3%,14,2016
890,CIN,0.124,54.9%,0.132,58.8%,0.11699999999999999,51.4%,14,2016
891,CHI,0.07,44.6%,0.11800000000000001,45.9%,-0.024,42.1%,14,2016
892,PIT,0.07,52.8%,-0.196,48.4%,0.271,56.1%,14,2016
893,MIN,0.065,40.6%,0.429,50.0%,-0.466,26.9%,14,2016
894,NYJ,0.028999999999999998,42.2%,-0.10800000000000001,39.1%,0.2,45.9%,14,2016
895,JAX,0.015,34.3%,0.113,40.0%,-0.185,22.7%,14,2016
896,BAL,0.008,40.0%,0.07400000000000001,40.0%,-0.23399999999999999,40.0%,14,2016
897,DET,-0.001,43.7%,0.096,52.2%,-0.179,28.0%,14,2016
898,TB,-0.004,48.4%,0.212,55.9%,-0.248,40.0%,14,2016
899,BUF,-0.005,34.6%,0.055,38.9%,-0.138,25.0%,14,2016
900,PHI,-0.005,44.9%,0.11900000000000001,50.9%,-0.267,32.0%,14,2016
901,HOU,-0.013999999999999999,49.3%,-0.062,50.0%,0.018000000000000002,48.8%,14,2016
902,IND,-0.051,43.1%,-0.126,42.0%,0.198,46.7%,14,2016
903,SF,-0.079,36.8%,-0.261,33.3%,0.124,40.7%,14,2016
904,CLE,-0.12300000000000001,33.3%,-0.368,23.5%,0.295,50.0%,14,2016
905,TEN,-0.128,37.5%,-0.449,22.2%,0.105,48.6%,14,2016
906,MIA,-0.147,36.7%,0.317,55.2%,-0.5820000000000001,19.4%,14,2016
907,NO,-0.14800000000000002,39.3%,-0.13699999999999998,41.9%,-0.174,33.3%,14,2016
908,KC,-0.149,34.6%,-0.022000000000000002,42.9%,-0.298,25.0%,14,2016
909,DEN,-0.151,40.9%,0.003,45.6%,-1.128,11.1%,14,2016
910,CAR,-0.155,36.2%,-0.259,33.3%,-0.06,38.9%,14,2016
911,LAC,-0.18100000000000002,34.4%,-0.183,38.6%,-0.179,25.0%,14,2016
912,ARI,-0.184,47.1%,-0.161,45.2%,-0.22,50.0%,14,2016
913,LV,-0.217,34.2%,-0.38,23.9%,0.034,50.0%,14,2016
914,SEA,-0.316,47.9%,-0.445,50.0%,-0.045,43.5%,14,2016
915,LA,-0.332,38.9%,-0.43200000000000005,34.7%,-0.121,47.8%,14,2016
916,NYG,-0.33299999999999996,29.2%,-0.359,39.4%,-0.305,18.8%,14,2016
917,DAL,-0.353,25.8%,-0.608,22.0%,0.065,32.0%,14,2016
918,KC,0.29,48.9%,0.35700000000000004,55.6%,0.2,40.0%,13,2016
919,IND,0.253,45.7%,0.7659999999999999,66.7%,-0.29,23.5%,13,2016
920,SEA,0.247,50.7%,0.235,56.8%,0.266,40.7%,13,2016
921,DET,0.242,55.1%,0.379,55.1%,-0.096,55.0%,13,2016
922,ARI,0.191,48.6%,0.262,49.0%,0.032,47.8%,13,2016
923,BAL,0.175,52.9%,0.128,51.0%,0.315,58.8%,13,2016
924,CIN,0.166,47.6%,0.513,58.1%,-0.17,37.5%,13,2016
925,TB,0.124,45.9%,0.32799999999999996,61.8%,-0.132,25.9%,13,2016
926,ATL,0.113,59.2%,0.158,61.4%,0.04,55.6%,13,2016
927,LV,0.111,41.4%,0.248,45.9%,-0.044000000000000004,36.4%,13,2016
928,BUF,0.081,52.8%,-0.153,43.2%,0.44799999999999995,67.9%,13,2016
929,WAS,0.068,45.8%,0.023,47.6%,0.18,41.2%,13,2016
930,CHI,0.061,39.3%,0.326,54.2%,-0.11,29.7%,13,2016
931,NE,-0.002,41.6%,-0.02,45.8%,0.026000000000000002,34.5%,13,2016
932,PIT,-0.006999999999999999,38.0%,0.267,47.5%,-0.36,25.8%,13,2016
933,GB,-0.02,43.1%,0.243,50.0%,-0.39399999999999996,33.3%,13,2016
934,LAC,-0.032,47.3%,-0.12,48.5%,0.1,45.5%,13,2016
935,HOU,-0.049,42.4%,-0.012,45.2%,-0.113,37.5%,13,2016
936,PHI,-0.051,44.3%,-0.021,46.0%,-0.171,37.5%,13,2016
937,MIN,-0.08,49.3%,-0.019,48.1%,-0.255,52.6%,13,2016
938,NO,-0.172,40.0%,-0.163,41.3%,-0.201,35.7%,13,2016
939,MIA,-0.242,41.0%,-0.22899999999999998,44.2%,-0.27399999999999997,33.3%,13,2016
940,NYG,-0.242,47.5%,-0.342,45.7%,0.115,53.8%,13,2016
941,DEN,-0.244,30.9%,-0.308,37.9%,-0.172,23.1%,13,2016
942,DAL,-0.245,37.3%,-0.105,46.2%,-0.39,28.0%,13,2016
943,CAR,-0.292,29.8%,-0.191,31.4%,-0.451,27.3%,13,2016
944,SF,-0.301,31.6%,-0.5920000000000001,18.5%,-0.04,43.3%,13,2016
945,JAX,-0.317,28.6%,-0.46299999999999997,29.2%,-0.12300000000000001,27.8%,13,2016
946,NYJ,-0.322,37.3%,-0.301,38.5%,-0.389,33.3%,13,2016
947,LA,-0.4,20.0%,-0.474,18.4%,-0.16399999999999998,25.0%,13,2016
948,WAS,0.326,48.6%,0.467,52.7%,-0.08,36.8%,12,2016
949,GB,0.32,50.0%,0.609,56.8%,-0.209,37.5%,12,2016
950,PIT,0.31,46.3%,0.48100000000000004,43.5%,0.183,48.4%,12,2016
951,DAL,0.305,52.8%,0.501,55.6%,0.102,50.0%,12,2016
952,NO,0.27899999999999997,46.6%,0.39399999999999996,50.0%,0.138,42.4%,12,2016
953,TEN,0.22699999999999998,52.6%,0.45399999999999996,53.3%,-0.024,51.9%,12,2016
954,MIA,0.201,44.1%,0.406,54.3%,-0.099,29.2%,12,2016
955,ATL,0.184,58.8%,0.287,61.9%,0.018000000000000002,53.8%,12,2016
956,BUF,0.174,43.4%,0.332,58.6%,-0.017,25.0%,12,2016
957,NE,0.152,44.9%,0.165,49.0%,0.114,33.3%,12,2016
958,DEN,0.147,39.2%,0.42200000000000004,46.7%,-0.217,29.4%,12,2016
959,JAX,0.09300000000000001,41.8%,0.17600000000000002,44.1%,0.006,39.4%,12,2016
960,CAR,0.08,41.3%,0.039,41.7%,0.135,40.7%,12,2016
961,LAC,0.08,47.3%,0.20199999999999999,51.4%,-0.134,40.0%,12,2016
962,SF,0.075,45.5%,0.111,47.4%,-0.027000000000000003,40.0%,12,2016
963,NYG,0.013000000000000001,35.2%,0.20600000000000002,40.0%,-0.228,29.2%,12,2016
964,CHI,0.011000000000000001,45.0%,0.11900000000000001,45.6%,-0.256,43.5%,12,2016
965,PHI,0.004,49.2%,0.008,48.9%,-0.008,50.0%,12,2016
966,ARI,-0.012,42.2%,0.05,44.0%,-0.231,35.7%,12,2016
967,LV,-0.022000000000000002,45.1%,0.203,57.1%,-0.348,27.6%,12,2016
968,MIN,-0.027999999999999997,43.9%,-0.075,40.0%,0.083,52.9%,12,2016
969,NYJ,-0.057,44.6%,-0.035,48.6%,-0.095,38.1%,12,2016
970,CIN,-0.063,38.7%,0.071,45.6%,-0.488,16.7%,12,2016
971,DET,-0.069,41.4%,0.009000000000000001,44.2%,-0.292,33.3%,12,2016
972,TB,-0.073,43.8%,0.205,56.3%,-0.35100000000000003,31.3%,12,2016
973,KC,-0.094,41.5%,-0.11599999999999999,41.1%,-0.044000000000000004,42.3%,12,2016
974,BAL,-0.14400000000000002,41.2%,-0.078,47.5%,-0.237,32.1%,12,2016
975,IND,-0.153,32.8%,-0.092,40.5%,-0.27,18.2%,12,2016
976,HOU,-0.166,42.6%,-0.028999999999999998,51.2%,-0.402,28.0%,12,2016
977,LA,-0.24,42.3%,-0.22699999999999998,42.9%,-0.267,41.2%,12,2016
978,SEA,-0.3,36.5%,-0.40299999999999997,34.0%,0.002,43.8%,12,2016
979,CLE,-0.312,40.5%,-0.282,41.5%,-0.38799999999999996,38.1%,12,2016
980,WAS,0.495,49.2%,0.7190000000000001,58.8%,0.214,37.0%,11,2016
981,NE,0.215,46.7%,0.287,47.8%,0.102,44.8%,11,2016
982,DAL,0.196,52.1%,0.47600000000000003,65.9%,-0.188,33.3%,11,2016
983,LV,0.182,41.2%,0.436,51.5%,-0.284,22.2%,11,2016
984,GB,0.177,44.1%,0.32299999999999995,49.0%,-0.261,29.4%,11,2016
985,TB,0.156,50.6%,0.4,58.7%,-0.207,38.7%,11,2016
986,KC,0.132,57.7%,0.271,63.6%,-0.109,47.4%,11,2016
987,PIT,0.132,48.5%,0.114,46.2%,0.156,51.7%,11,2016
988,IND,0.129,39.3%,0.335,45.7%,-0.215,28.6%,11,2016
989,BAL,0.11699999999999999,50.9%,0.12300000000000001,55.0%,0.1,40.0%,11,2016
990,NYG,0.113,40.6%,0.204,43.6%,-0.028999999999999998,36.0%,11,2016
991,HOU,0.11199999999999999,43.4%,0.335,51.1%,-0.21100000000000002,32.3%,11,2016
992,SEA,0.11,35.9%,0.20600000000000002,42.5%,-0.05,25.0%,11,2016
993,NO,0.053,48.6%,0.059000000000000004,56.0%,0.04,33.3%,11,2016
994,CHI,0.036000000000000004,38.1%,0.08199999999999999,39.5%,-0.034,36.0%,11,2016
995,TEN,-0.006,44.4%,0.21,48.9%,-0.41,36.0%,11,2016
996,SF,-0.013999999999999999,41.3%,0.077,42.1%,-0.152,40.0%,11,2016
997,BUF,-0.040999999999999995,47.7%,-0.20800000000000002,40.0%,0.155,56.7%,11,2016
998,CAR,-0.102,33.9%,-0.057999999999999996,37.1%,-0.16,29.6%,11,2016
999,CLE,-0.11199999999999999,30.3%,-0.063,30.4%,-0.382,30.0%,11,2016
1000,MIN,-0.11599999999999999,40.4%,-0.051,47.1%,-0.212,30.4%,11,2016
1001,PHI,-0.11800000000000001,39.7%,-0.17,36.5%,-0.013999999999999999,46.2%,11,2016
1002,CIN,-0.12300000000000001,43.1%,-0.174,45.7%,-0.032,38.5%,11,2016
1003,ARI,-0.142,44.6%,-0.259,42.6%,0.063,48.1%,11,2016
1004,MIA,-0.16399999999999998,39.0%,-0.203,43.9%,-0.073,27.8%,11,2016
1005,DET,-0.188,37.5%,0.086,48.6%,-0.722,15.8%,11,2016
1006,JAX,-0.195,38.5%,-0.025,42.1%,-0.434,33.3%,11,2016
1007,LA,-0.207,29.5%,-0.336,27.8%,-0.022000000000000002,32.0%,11,2016
1008,TEN,0.341,41.4%,0.768,58.6%,-0.086,24.1%,10,2016
1009,SEA,0.312,52.2%,0.49200000000000005,56.8%,-0.004,44.0%,10,2016
1010,DAL,0.293,54.0%,0.433,55.9%,0.129,51.7%,10,2016
1011,MIA,0.22399999999999998,46.0%,0.528,55.6%,-0.132,34.8%,10,2016
1012,PIT,0.22,52.9%,0.406,58.8%,-0.281,36.8%,10,2016
1013,WAS,0.10800000000000001,45.2%,0.293,57.1%,-0.132,29.6%,10,2016
1014,PHI,0.1,52.7%,0.115,50.0%,0.08199999999999999,55.9%,10,2016
1015,NE,0.099,51.5%,0.294,55.3%,-0.165,46.4%,10,2016
1016,TB,0.067,41.3%,0.3,51.2%,-0.245,28.1%,10,2016
1017,GB,0.055,41.6%,0.105,43.8%,-0.193,30.8%,10,2016
1018,BAL,0.046,44.9%,0.152,52.2%,-0.106,34.4%,10,2016
1019,MIN,0.046,49.3%,0.249,60.0%,-0.368,27.3%,10,2016
1020,HOU,0.036000000000000004,35.5%,-0.022000000000000002,40.6%,0.09699999999999999,30.0%,10,2016
1021,CAR,-0.032,43.1%,-0.032,48.8%,-0.031,34.5%,10,2016
1022,DEN,-0.032,40.7%,0.083,45.8%,-0.198,33.3%,10,2016
1023,KC,-0.035,42.9%,-0.158,39.1%,0.297,52.9%,10,2016
1024,NYG,-0.051,42.5%,-0.094,42.9%,0.036000000000000004,41.7%,10,2016
1025,ARI,-0.055999999999999994,47.4%,0.035,56.4%,-0.275,26.1%,10,2016
1026,ATL,-0.06,32.0%,-0.038,32.4%,-0.125,30.8%,10,2016
1027,SF,-0.063,34.9%,0.091,40.0%,-0.33299999999999996,26.1%,10,2016
1028,LAC,-0.078,39.0%,0.024,47.2%,-0.304,20.8%,10,2016
1029,LA,-0.086,33.3%,-0.03,30.6%,-0.153,36.7%,10,2016
1030,NYJ,-0.086,33.3%,-0.12300000000000001,37.1%,-0.035,28.0%,10,2016
1031,JAX,-0.092,42.9%,0.106,48.1%,-0.556,30.4%,10,2016
1032,CIN,-0.12,31.0%,-0.051,31.4%,-0.22399999999999998,30.4%,10,2016
1033,NO,-0.168,47.1%,-0.191,58.1%,-0.132,30.0%,10,2016
