RK,TEAM,TOTAL DVOA,LAST WEEK,TOTAL DAVE,RANK,W-L,OFFENSE DVOA,OFF. RANK,DEFENSE DVOA,DEF. RANK,S.T. DVOA,S.T. RANK,WEEK,YEAR,WEIGHTED DVOA,RANK,non-adj VOA,Last Year,ESTIM. WINS,EW RANK,SCHEDULE RANK,RANK,PYTH WINS,RANK,VAR.,RANK,PAST SCHED,RANK,FUTURE SCHED,RANK
8,GB,0.122,6,11.30%,9,3-2,0.007,14,-0.094,7,0.021,13,6,2016,,,,,,,,,,,,,,,,
9,DEN,0.120,7,10.00%,10,4-2,-0.060,23,-0.175,4,0.005,17,6,2016,,,,,,,,,,,,,,,,
10,ARI,0.102,14,11.50%,8,3-3,-0.075,24,-0.209,3,-0.032,24,6,2016,,,,,,,,,,,,,,,,
11,WAS,0.085,12,5.40%,14,4-2,0.064,9,0.015,18,0.036,7,6,2016,,,,,,,,,,,,,,,,
12,PIT,0.083,4,9.70%,11,4-2,0.124,5,0.069,24,0.027,9,6,2016,,,,,,,,,,,,,,,,
13,SD,0.078,11,5.90%,13,2-4,0.070,8,-0.051,12,-0.043,26,6,2016,,,,,,,,,,,,,,,,
14,KC,0.067,17,8.80%,12,3-2,-0.038,20,-0.085,8,0.021,12,6,2016,,,,,,,,,,,,,,,,
15,BAL,0.042,15,4.60%,15,3-3,-0.118,27,-0.164,6,-0.004,18,6,2016,,,,,,,,,,,,,,,,
16,TEN,0.030,16,0.80%,16,3-3,0.054,10,-0.080,9,-0.105,32,6,2016,,,,,,,,,,,,,,,,
17,NYG,0.000,18,-0.50%,17,3-3,-0.012,18,-0.016,16,-0.004,19,6,2016,,,,,,,,,,,,,,,,
18,OAK,-0.002,10,-0.70%,18,4-2,0.156,3,0.176,29,0.019,15,6,2016,,,,,,,,,,,,,,,,
19,CHI,-0.028,20,-3.80%,19,1-5,-0.013,19,-0.022,15,-0.037,25,6,2016,,,,,,,,,,,,,,,,
20,MIA,-0.040,28,-5.80%,21,2-4,-0.059,22,0.000,17,0.019,14,6,2016,,,,,,,,,,,,,,,,
21,NO,-0.060,21,-4.80%,20,2-3,0.108,7,0.145,28,-0.022,22,6,2016,,,,,,,,,,,,,,,,
22,LARM,-0.078,25,-6.00%,22,3-3,-0.155,29,-0.027,14,0.050,6,6,2016,,,,,,,,,,,,,,,,
23,JAC,-0.096,22,-9.10%,25,2-3,-0.158,31,-0.047,13,0.015,16,6,2016,,,,,,,,,,,,,,,,
24,CAR,-0.106,23,-7.70%,23,1-5,0.000,15,0.036,22,-0.070,30,6,2016,,,,,,,,,,,,,,,,
25,CIN,-0.113,19,-8.50%,24,2-4,0.013,13,0.077,25,-0.049,28,6,2016,,,,,,,,,,,,,,,,
26,DET,-0.150,24,-12.50%,26,3-3,0.034,12,0.261,32,0.077,2,6,2016,,,,,,,,,,,,,,,,
27,SF,-0.172,26,-17.70%,29,1-5,-0.101,26,0.026,20,-0.046,27,6,2016,,,,,,,,,,,,,,,,
28,IND,-0.181,27,-15.00%,27,2-4,-0.044,21,0.219,31,0.082,1,6,2016,,,,,,,,,,,,,,,,
29,TB,-0.212,29,-16.70%,28,2-3,-0.143,28,0.038,23,-0.030,23,6,2016,,,,,,,,,,,,,,,,
30,HOU,-0.232,31,-20.40%,30,4-2,-0.205,32,-0.051,11,-0.078,31,6,2016,,,,,,,,,,,,,,,,
31,CLE,-0.279,32,-26.90%,31,0-6,-0.087,25,0.126,27,-0.066,29,6,2016,,,,,,,,,,,,,,,,
32,NYJ,-0.361,30,-30.20%,32,1-5,-0.158,30,0.185,30,-0.018,21,6,2016,,,,,,,,,,,,,,,,
1,PHI,0.303,4,22.60%,1,4-2,-0.059,24,-0.266,1,0.095,1,7,2016,,,,,,,,,,,,,,,,
2,SEA,0.219,2,22.40%,2,4-1-2001,-0.022,20,-0.236,3,0.005,15,7,2016,,,,,,,,,,,,,,,,
3,DEN,0.205,9,19.00%,3,5-2,-0.008,17,-0.201,5,0.012,12,7,2016,,,,,,,,,,,,,,,,
4,MIN,0.202,1,15.70%,7,5-1,-0.056,23,-0.239,2,0.018,11,7,2016,,,,,,,,,,,,,,,,
5,DAL,0.193,5,15.40%,8,5-1,0.227,1,0.025,20,-0.009,21,7,2016,,,,,,,,,,,,,,,,
6,NE,0.183,7,18.70%,4,6-1,0.192,3,0.014,18,0.005,16,7,2016,,,,,,,,,,,,,,,,
7,ATL,0.182,6,16.20%,5,4-3,0.203,2,0.081,26,0.060,3,7,2016,,,,,,,,,,,,,,,,
8,GB,0.178,8,16.00%,6,4-2,0.047,10,-0.133,7,-0.002,19,7,2016,,,,,,,,,,,,,,,,
9,BUF,0.141,3,12.90%,9,4-3,0.102,7,-0.002,16,0.036,6,7,2016,,,,,,,,,,,,,,,,
10,ARI,0.077,10,8.60%,10,3-3-2001,-0.072,25,-0.215,4,-0.066,30,7,2016,,,,,,,,,,,,,,,,
11,SD,0.073,13,6.60%,11,3-4,0.047,9,-0.059,8,-0.033,24,7,2016,,,,,,,,,,,,,,,,
12,KC,0.041,14,5.60%,12,4-2,-0.012,18,-0.024,13,0.030,8,7,2016,,,,,,,,,,,,,,,,
13,NYG,0.040,17,3.40%,14,4-3,-0.021,19,-0.055,9,0.007,14,7,2016,,,,,,,,,,,,,,,,
14,PIT,0.034,12,4.80%,13,4-3,0.095,8,0.080,25,0.019,10,7,2016,,,,,,,,,,,,,,,,
15,WAS,0.029,11,1.90%,15,4-3,0.042,12,0.038,22,0.024,9,7,2016,,,,,,,,,,,,,,,,
16,MIA,0.017,20,0.50%,17,3-4,-0.005,16,-0.022,14,-0.001,18,7,2016,,,,,,,,,,,,,,,,
17,OAK,0.006,18,0.00%,18,5-2,0.124,5,0.149,28,0.030,7,7,2016,,,,,,,,,,,,,,,,
18,CIN,0.002,25,0.50%,16,3-4,0.120,6,0.056,23,-0.062,28,7,2016,,,,,,,,,,,,,,,,
19,BAL,-0.031,15,-2.30%,19,3-4,-0.180,30,-0.141,6,0.008,13,7,2016,,,,,,,,,,,,,,,,
20,TEN,-0.043,16,-4.70%,21,3-4,0.042,11,0.007,17,-0.078,32,7,2016,,,,,,,,,,,,,,,,
21,NO,-0.048,21,-4.10%,20,2-4,0.138,4,0.172,29,-0.014,22,7,2016,,,,,,,,,,,,,,,,
22,CHI,-0.066,19,-6.60%,23,1-6,-0.035,21,0.024,19,-0.006,20,7,2016,,,,,,,,,,,,,,,,
23,TB,-0.084,29,-7.70%,24,3-3,-0.043,22,-0.004,15,-0.046,25,7,2016,,,,,,,,,,,,,,,,
24,CAR,-0.093,24,-6.50%,22,1-5,0.004,15,0.031,21,-0.065,29,7,2016,,,,,,,,,,,,,,,,
25,LARM,-0.105,22,-9.30%,25,3-4,-0.201,31,-0.044,10,0.052,5,7,2016,,,,,,,,,,,,,,,,
26,JAC,-0.122,23,-11.40%,26,2-4,-0.165,29,-0.043,11,0.000,17,7,2016,,,,,,,,,,,,,,,,
27,IND,-0.132,28,-12.20%,27,3-4,0.019,14,0.223,31,0.071,2,7,2016,,,,,,,,,,,,,,,,
28,DET,-0.162,26,-14.90%,28,4-3,0.040,13,0.263,32,0.060,4,7,2016,,,,,,,,,,,,,,,,
29,SF,-0.214,27,-21.20%,29,1-6,-0.115,27,0.072,24,-0.027,23,7,2016,,,,,,,,,,,,,,,,
30,HOU,-0.254,30,-23.90%,30,4-3,-0.216,32,-0.034,12,-0.072,31,7,2016,,,,,,,,,,,,,,,,
31,NYJ,-0.327,32,-30.10%,31,2-5,-0.162,28,0.116,27,-0.049,27,7,2016,,,,,,,,,,,,,,,,
32,CLE,-0.331,31,-32.10%,32,0-7,-0.083,26,0.201,30,-0.047,26,7,2016,,,,,,,,,,,,,,,,
1,PHI,0.286,1,,,4-3,-0.064,23,-0.251,1,0.099,1,8,2016,0.283,1,,,,,,,,,,,,,,
2,DAL,0.218,5,,,6-1,0.216,2,-0.013,14,-0.011,21,8,2016,0.221,2,,,,,,,,,,,,,,
3,DEN,0.203,3,,,6-2,-0.041,21,-0.240,2,0.005,16,8,2016,0.202,3,,,,,,,,,,,,,,
4,NE,0.196,6,,,7-1,0.192,3,0.021,19,0.024,7,8,2016,0.202,4,,,,,,,,,,,,,,
5,ATL,0.195,7,,,5-3,0.233,1,0.081,26,0.043,5,8,2016,0.196,5,,,,,,,,,,,,,,
6,SEA,0.191,2,,,4-2-2001,-0.033,18,-0.217,3,0.007,12,8,2016,0.188,6,,,,,,,,,,,,,,
7,GB,0.121,8,,,4-3,0.036,12,-0.081,8,0.004,17,8,2016,0.121,7,,,,,,,,,,,,,,
8,MIN,0.119,4,,,5-2,-0.084,24,-0.181,5,0.021,8,8,2016,0.115,8,,,,,,,,,,,,,,
9,BUF,0.089,9,,,4-4,0.093,8,0.015,17,0.012,11,8,2016,0.088,9,,,,,,,,,,,,,,
10,KC,0.055,12,,,5-2,-0.035,20,-0.057,9,0.032,6,8,2016,0.058,10,,,,,,,,,,,,,,
11,OAK,0.045,17,,,6-2,0.144,4,0.111,28,0.012,10,8,2016,0.042,11,,,,,,,,,,,,,,
12,PIT,0.035,14,,,4-3,0.097,7,0.080,25,0.018,9,8,2016,0.031,14,,,,,,,,,,,,,,
13,ARI,0.033,10,,,3-4-2001,-0.089,26,-0.183,4,-0.060,30,8,2016,0.034,12,,,,,,,,,,,,,,
14,SD,0.029,11,,,3-5,-0.012,16,-0.083,7,-0.043,25,8,2016,0.029,15,,,,,,,,,,,,,,
15,CHI,0.029,22,,,2-6,0.020,13,-0.003,15,0.005,15,8,2016,0.032,13,,,,,,,,,,,,,,
16,WAS,0.027,15,,,4-3-2001,0.061,10,0.037,21,0.003,18,8,2016,0.028,16,,,,,,,,,,,,,,
17,NYG,0.024,13,,,4-3,-0.034,19,-0.052,10,0.006,14,8,2016,0.025,17,,,,,,,,,,,,,,
18,MIA,0.012,16,,,3-4,-0.016,17,-0.030,13,-0.002,19,8,2016,0.016,18,,,,,,,,,,,,,,
19,CIN,-0.006,18,,,3-4-2001,0.128,6,0.075,24,-0.059,29,8,2016,-0.008,19,,,,,,,,,,,,,,
20,BAL,-0.037,19,,,3-4,-0.197,30,-0.153,6,0.007,13,8,2016,-0.038,20,,,,,,,,,,,,,,
21,CAR,-0.040,24,,,2-5,0.014,14,0.008,16,-0.046,27,8,2016,-0.040,21,,,,,,,,,,,,,,
22,TEN,-0.047,20,,,4-4,0.079,9,0.061,22,-0.065,31,8,2016,-0.044,22,,,,,,,,,,,,,,
23,NO,-0.056,21,,,3-4,0.130,5,0.171,29,-0.015,22,8,2016,-0.056,23,,,,,,,,,,,,,,
24,DET,-0.121,28,,,4-4,0.057,11,0.222,32,0.045,4,8,2016,-0.119,24,,,,,,,,,,,,,,
25,LARM,-0.122,25,,,3-4,-0.210,31,-0.037,11,0.050,2,8,2016,-0.123,25,,,,,,,,,,,,,,
26,TB,-0.133,23,,,3-4,-0.058,22,0.026,20,-0.049,28,8,2016,-0.131,26,,,,,,,,,,,,,,
27,JAC,-0.152,26,,,2-5,-0.133,28,0.015,18,-0.004,20,8,2016,-0.154,28,,,,,,,,,,,,,,
28,IND,-0.153,27,,,3-5,-0.006,15,0.196,31,0.049,3,8,2016,-0.154,27,,,,,,,,,,,,,,
29,SF,-0.222,29,,,1-6,-0.119,27,0.073,23,-0.029,23,8,2016,-0.224,29,,,,,,,,,,,,,,
30,HOU,-0.258,30,,,5-3,-0.224,32,-0.033,12,-0.067,32,8,2016,-0.262,30,,,,,,,,,,,,,,
31,NYJ,-0.306,31,,,3-5,-0.151,29,0.110,27,-0.045,26,8,2016,-0.306,31,,,,,,,,,,,,,,
32,CLE,-0.309,32,,,0-8,-0.085,25,0.192,30,-0.033,24,8,2016,-0.309,32,,,,,,,,,,,,,,
1,PHI,0.275,1,,,4-4,-0.078,23,-0.245,1,0.108,1,9,2016,0.278,1,,,,,,,,,,,,,,
2,DAL,0.217,2,,,7-1,0.208,2,-0.012,14,-0.003,17,9,2016,0.223,2,,,,,,,,,,,,,,
3,SEA,0.206,6,,,5-2-2001,0.016,14,-0.177,6,0.013,10,9,2016,0.198,5,,,,,,,,,,,,,,
4,ATL,0.204,5,,,6-3,0.243,1,0.080,24,0.041,6,9,2016,0.221,3,,,,,,,,,,,,,,
5,NE,0.193,4,,,7-1,0.184,3,0.017,18,0.026,8,9,2016,0.210,4,,,,,,,,,,,,,,
6,DEN,0.144,3,,,6-3,-0.060,22,-0.198,2,0.007,13,9,2016,0.152,6,,,,,,,,,,,,,,
7,GB,0.094,7,,,4-4,0.043,11,-0.077,7,-0.026,22,9,2016,0.090,7,,,,,,,,,,,,,,
8,MIN,0.089,8,,,5-3,-0.103,25,-0.181,4,0.011,12,9,2016,0.085,9,,,,,,,,,,,,,,
9,OAK,0.085,11,,,7-2,0.176,4,0.103,27,0.012,11,9,2016,0.086,8,,,,,,,,,,,,,,
10,BUF,0.056,9,,,4-5,0.132,6,0.063,22,-0.013,20,9,2016,0.063,11,,,,,,,,,,,,,,
11,KC,0.055,10,,,6-2,-0.053,21,-0.062,11,0.046,5,9,2016,0.054,12,,,,,,,,,,,,,,
12,MIA,0.047,18,,,4-4,-0.043,20,-0.063,10,0.028,7,9,2016,0.069,10,,,,,,,,,,,,,,
13,SD,0.047,14,,,4-5,0.009,15,-0.076,8,-0.038,25,9,2016,0.044,13,,,,,,,,,,,,,,
14,NYG,0.038,17,,,5-3,-0.027,18,-0.072,9,-0.007,19,9,2016,0.038,15,,,,,,,,,,,,,,
15,WAS,0.028,16,,,4-3-2001,0.061,9,0.038,21,0.005,15,9,2016,0.041,14,,,,,,,,,,,,,,
16,CHI,0.025,15,,,2-6,0.018,13,-0.001,16,0.006,14,9,2016,0.037,16,,,,,,,,,,,,,,
17,PIT,0.021,12,,,4-4,0.056,10,0.030,19,-0.006,18,9,2016,0.002,18,,,,,,,,,,,,,,
18,ARI,0.018,13,,,3-4-2001,-0.105,26,-0.182,3,-0.059,30,9,2016,0.014,17,,,,,,,,,,,,,,
19,CIN,-0.009,19,,,3-4-2001,0.125,7,0.076,23,-0.058,29,9,2016,-0.004,19,,,,,,,,,,,,,,
20,NO,-0.019,23,,,4-4,0.173,5,0.162,29,-0.029,23,9,2016,-0.014,20,,,,,,,,,,,,,,
21,TEN,-0.040,22,,,4-5,0.101,8,0.089,26,-0.051,27,9,2016,-0.041,21,,,,,,,,,,,,,,
22,BAL,-0.041,20,,,4-4,-0.245,32,-0.178,5,0.026,9,9,2016,-0.050,22,,,,,,,,,,,,,,
23,CAR,-0.068,21,,,3-5,-0.010,17,0.006,17,-0.053,28,9,2016,-0.073,23,,,,,,,,,,,,,,
24,LARM,-0.103,25,,,3-5,-0.213,30,-0.062,12,0.049,4,9,2016,-0.079,24,,,,,,,,,,,,,,
25,TB,-0.114,26,,,3-5,-0.038,19,0.036,20,-0.040,26,9,2016,-0.129,26,,,,,,,,,,,,,,
26,IND,-0.124,28,,,4-5,0.005,16,0.198,30,0.069,2,9,2016,-0.120,25,,,,,,,,,,,,,,
27,DET,-0.124,24,,,5-4,0.038,12,0.213,32,0.050,3,9,2016,-0.132,27,,,,,,,,,,,,,,
28,JAC,-0.135,27,,,2-6,-0.122,28,-0.005,15,-0.018,21,9,2016,-0.137,28,,,,,,,,,,,,,,
29,SF,-0.223,29,,,1-7,-0.116,27,0.104,28,-0.003,16,9,2016,-0.246,29,,,,,,,,,,,,,,
30,HOU,-0.266,30,,,5-3,-0.235,31,-0.034,13,-0.066,31,9,2016,-0.276,30,,,,,,,,,,,,,,
31,CLE,-0.325,32,,,0-9,-0.081,24,0.207,31,-0.038,24,9,2016,-0.322,31,,,,,,,,,,,,,,
32,NYJ,-0.326,31,,,3-6,-0.172,29,0.080,24,-0.074,32,9,2016,-0.331,32,,,,,,,,,,,,,,
1,PHI,0.302,1,,,5-4,-0.063,20,-0.266,1,0.099,1,10,2016,0.313,1,,,,,,,,,,,,,,
2,SEA,0.236,3,,,6-2-2001,0.054,11,-0.171,5,0.012,13,10,2016,0.242,2,,,,,,,,,,,,,,
3,DAL,0.209,2,,,8-1,0.234,2,0.039,19,0.014,11,10,2016,0.219,3,,,,,,,,,,,,,,
4,ATL,0.193,4,,,6-4,0.253,1,0.088,26,0.028,7,10,2016,0.207,5,,,,,,,,,,,,,,
5,NE,0.190,5,,,7-2,0.197,3,0.027,18,0.020,8,10,2016,0.209,4,,,,,,,,,,,,,,
6,MIA,0.120,12,,,5-4,-0.011,16,-0.114,7,0.017,10,10,2016,0.138,6,,,,,,,,,,,,,,
7,OAK,0.089,9,,,7-2,0.187,4,0.111,28,0.012,12,10,2016,0.093,8,,,,,,,,,,,,,,
8,WAS,0.085,15,,,5-3-2001,0.109,9,0.042,21,0.018,9,10,2016,0.093,7,,,,,,,,,,,,,,
9,BUF,0.068,10,,,4-5,0.139,6,0.057,23,-0.014,19,10,2016,0.083,9,,,,,,,,,,,,,,
10,PIT,0.065,17,,,4-5,0.117,8,0.041,20,-0.010,18,10,2016,0.054,11,,,,,,,,,,,,,,
11,DEN,0.065,6,,,6-3,-0.125,28,-0.185,3,0.005,17,10,2016,0.066,10,,,,,,,,,,,,,,
12,MIN,0.044,8,,,5-4,-0.089,23,-0.125,6,0.008,15,10,2016,0.033,14,,,,,,,,,,,,,,
13,KC,0.039,11,,,7-2,-0.073,22,-0.065,9,0.047,5,10,2016,0.040,12,,,,,,,,,,,,,,
14,NO,0.030,20,,,4-5,0.175,5,0.112,29,-0.033,24,10,2016,0.036,13,,,,,,,,,,,,,,
15,BAL,0.023,22,,,5-4,-0.228,32,-0.223,2,0.029,6,10,2016,0.019,17,,,,,,,,,,,,,,
16,NYG,0.021,14,,,6-3,-0.028,18,-0.087,8,-0.038,27,10,2016,0.019,16,,,,,,,,,,,,,,
17,CIN,0.020,19,,,3-5-2001,0.106,10,0.054,22,-0.032,23,10,2016,0.024,15,,,,,,,,,,,,,,
18,GB,0.015,7,,,4-5,0.015,13,-0.035,12,-0.035,25,10,2016,0.015,18,,,,,,,,,,,,,,
19,ARI,0.011,18,,,4-4-2001,-0.112,26,-0.175,4,-0.053,30,10,2016,-0.012,21,,,,,,,,,,,,,,
20,SD,0.008,13,,,4-6,-0.023,17,-0.047,11,-0.015,20,10,2016,0.003,20,,,,,,,,,,,,,,
21,TEN,-0.003,21,,,5-5,0.128,7,0.095,27,-0.036,26,10,2016,0.004,19,,,,,,,,,,,,,,
22,CAR,-0.046,23,,,3-6,-0.001,14,-0.004,15,-0.048,29,10,2016,-0.056,22,,,,,,,,,,,,,,
23,TB,-0.059,25,,,4-5,-0.037,19,-0.006,14,-0.027,22,10,2016,-0.056,23,,,,,,,,,,,,,,
24,CHI,-0.080,16,,,2-7,-0.070,21,0.015,16,0.005,16,10,2016,-0.070,24,,,,,,,,,,,,,,
25,LARM,-0.090,24,,,4-5,-0.211,30,-0.062,10,0.060,3,10,2016,-0.081,25,,,,,,,,,,,,,,
26,DET,-0.144,27,,,5-4,0.032,12,0.226,32,0.050,4,10,2016,-0.153,27,,,,,,,,,,,,,,
27,IND,-0.164,26,,,4-5,-0.009,15,0.224,31,0.069,2,10,2016,-0.152,26,,,,,,,,,,,,,,
28,JAC,-0.168,28,,,2-7,-0.122,27,0.021,17,-0.024,21,10,2016,-0.160,28,,,,,,,,,,,,,,
29,SF,-0.169,29,,,1-8,-0.096,24,0.082,25,0.009,14,10,2016,-0.180,29,,,,,,,,,,,,,,
30,HOU,-0.270,30,,,6-3,-0.228,31,-0.024,13,-0.066,31,10,2016,-0.275,30,,,,,,,,,,,,,,
31,NYJ,-0.297,32,,,3-7,-0.153,29,0.066,24,-0.078,32,10,2016,-0.311,31,,,,,,,,,,,,,,
32,CLE,-0.357,31,,,0-10,-0.103,25,0.211,30,-0.043,28,10,2016,-0.364,32,,,,,,,,,,,,,,
1,SEA,0.267,2,,,7-2-2001,0.095,9,-0.164,5,0.007,15,11,2016,0.278,1,,,,,,,,,,,,,,
2,PHI,0.254,1,,,5-5,-0.053,21,-0.216,1,0.091,1,11,2016,0.243,2,,,,,,,,,,,,,,
3,NE,0.208,5,,,8-2,0.220,3,0.031,20,0.018,12,11,2016,0.221,3,,,,,,,,,,,,,,
4,DAL,0.192,3,,,9-1,0.258,1,0.085,25,0.019,11,11,2016,0.197,4,,,,,,,,,,,,,,
5,ATL,0.189,4,,,6-4,0.246,2,0.086,27,0.028,6,11,2016,0.195,5,,,,,,,,,,,,,,
6,MIA,0.123,6,,,6-4,0.006,13,-0.107,7,0.010,13,11,2016,0.146,6,,,,,,,,,,,,,,
7,WAS,0.113,8,,,6-3-2001,0.153,6,0.062,22,0.022,9,11,2016,0.127,7,,,,,,,,,,,,,,
8,OAK,0.094,7,,,8-2,0.175,4,0.100,29,0.020,10,11,2016,0.089,9,,,,,,,,,,,,,,
9,BUF,0.091,9,,,5-5,0.100,7,0.008,16,-0.001,17,11,2016,0.102,8,,,,,,,,,,,,,,
10,PIT,0.072,10,,,5-5,0.076,10,-0.004,14,-0.008,19,11,2016,0.085,10,,,,,,,,,,,,,,
11,DEN,0.071,11,,,7-3,-0.111,26,-0.177,2,0.004,16,11,2016,0.067,11,,,,,,,,,,,,,,
12,MIN,0.060,12,,,6-4,-0.092,23,-0.125,6,0.027,7,11,2016,0.044,13,,,,,,,,,,,,,,
13,KC,0.055,13,,,7-3,-0.030,20,-0.038,11,0.047,5,11,2016,0.039,14,,,,,,,,,,,,,,
14,NO,0.044,14,,,4-6,0.157,5,0.080,24,-0.033,22,11,2016,0.058,12,,,,,,,,,,,,,,
15,NYG,0.038,16,,,7-3,-0.021,17,-0.099,8,-0.039,28,11,2016,0.033,15,,,,,,,,,,,,,,
16,SD,0.014,20,,,4-6,-0.015,16,-0.044,10,-0.015,20,11,2016,0.013,16,,,,,,,,,,,,,,
17,BAL,0.008,15,,,5-5,-0.182,30,-0.164,4,0.025,8,11,2016,0.010,17,,,,,,,,,,,,,,
18,CIN,-0.003,17,,,3-6-2001,0.065,11,0.032,21,-0.037,26,11,2016,-0.005,18,,,,,,,,,,,,,,
19,ARI,-0.006,19,,,4-5-2001,-0.106,25,-0.166,3,-0.066,30,11,2016,-0.021,19,,,,,,,,,,,,,,
20,GB,-0.031,18,,,4-6,0.025,12,0.019,18,-0.038,27,11,2016,-0.050,22,,,,,,,,,,,,,,
21,TEN,-0.036,21,,,5-6,0.096,8,0.096,28,-0.036,25,11,2016,-0.028,20,,,,,,,,,,,,,,
22,CAR,-0.045,22,,,4-6,-0.024,18,-0.023,13,-0.043,29,11,2016,-0.047,21,,,,,,,,,,,,,,
23,TB,-0.064,23,,,5-5,-0.028,19,0.015,17,-0.021,21,11,2016,-0.064,24,,,,,,,,,,,,,,
24,CHI,-0.069,24,,,2-8,-0.054,22,0.023,19,0.008,14,11,2016,-0.050,23,,,,,,,,,,,,,,
25,LARM,-0.089,25,,,4-6,-0.211,31,-0.061,9,0.061,4,11,2016,-0.081,25,,,,,,,,,,,,,,
26,DET,-0.132,26,,,6-4,-0.004,14,0.194,32,0.067,2,11,2016,-0.129,27,,,,,,,,,,,,,,
27,IND,-0.136,27,,,5-5,-0.012,15,0.185,31,0.061,3,11,2016,-0.128,26,,,,,,,,,,,,,,
28,SF,-0.184,29,,,1-9,-0.098,24,0.085,26,-0.001,18,11,2016,-0.184,28,,,,,,,,,,,,,,
29,JAC,-0.201,28,,,2-8,-0.169,29,-0.003,15,-0.035,24,11,2016,-0.198,29,,,,,,,,,,,,,,
30,HOU,-0.259,30,,,6-4,-0.217,32,-0.029,12,-0.071,31,11,2016,-0.258,30,,,,,,,,,,,,,,
31,NYJ,-0.291,31,,,3-7,-0.143,27,0.070,23,-0.078,32,11,2016,-0.294,31,,,,,,,,,,,,,,
32,CLE,-0.367,32,,,0-11,-0.153,28,0.179,30,-0.035,23,11,2016,-0.374,32,,,,,,,,,,,,,,
1,ATL,0.219,5,,,7-4,0.265,2,0.074,24,0.028,7,12,2016,0.218,2,,,,,,,,,,,,,,
2,DAL,0.215,4,,,10-1,0.278,1,0.085,27,0.023,10,12,2016,0.231,1,,,,,,,,,,,,,,
3,PHI,0.203,2,,,5-6,-0.053,20,-0.163,3,0.093,1,12,2016,0.187,4,,,,,,,,,,,,,,
4,SEA,0.192,1,,,7-3-2001,0.031,11,-0.151,4,0.010,14,12,2016,0.185,5,,,,,,,,,,,,,,
5,NE,0.183,3,,,9-2,0.210,3,0.047,21,0.019,11,12,2016,0.207,3,,,,,,,,,,,,,,
6,PIT,0.129,10,,,6-5,0.091,9,-0.047,11,-0.008,18,12,2016,0.134,6,,,,,,,,,,,,,,
7,OAK,0.121,8,,,9-2,0.171,5,0.078,26,0.028,8,12,2016,0.109,9,,,,,,,,,,,,,,
8,KC,0.101,13,,,8-3,-0.010,15,-0.034,13,0.077,2,12,2016,0.117,8,,,,,,,,,,,,,,
9,MIA,0.091,6,,,7-4,0.015,13,-0.065,8,0.011,12,12,2016,0.123,7,,,,,,,,,,,,,,
10,WAS,0.088,7,,,6-4-2001,0.158,6,0.078,25,0.008,15,12,2016,0.097,10,,,,,,,,,,,,,,
11,NO,0.075,14,,,5-6,0.182,4,0.065,22,-0.042,28,12,2016,0.090,11,,,,,,,,,,,,,,
12,BUF,0.067,9,,,6-5,0.096,8,0.033,19,0.004,16,12,2016,0.061,13,,,,,,,,,,,,,,
13,BAL,0.051,17,,,6-5,-0.183,30,-0.186,1,0.048,6,12,2016,0.064,12,,,,,,,,,,,,,,
14,NYG,0.051,15,,,8-3,-0.026,18,-0.104,7,-0.026,21,12,2016,0.051,14,,,,,,,,,,,,,,
15,DEN,0.049,11,,,7-4,-0.091,24,-0.169,2,-0.029,22,12,2016,0.024,17,,,,,,,,,,,,,,
16,MIN,0.037,12,,,6-5,-0.110,25,-0.119,6,0.028,9,12,2016,0.012,18,,,,,,,,,,,,,,
17,SD,0.026,16,,,5-6,-0.017,16,-0.057,9,-0.014,19,12,2016,0.026,16,,,,,,,,,,,,,,
18,GB,0.022,20,,,5-6,0.069,10,0.018,17,-0.030,24,12,2016,0.009,19,,,,,,,,,,,,,,
19,TB,-0.002,23,,,6-5,-0.018,17,-0.039,12,-0.023,20,12,2016,0.026,15,,,,,,,,,,,,,,
20,TEN,-0.018,21,,,6-6,0.103,7,0.092,28,-0.029,23,12,2016,0.002,20,,,,,,,,,,,,,,
21,CIN,-0.022,18,,,3-7-2001,0.030,12,0.019,18,-0.032,25,12,2016,-0.034,22,,,,,,,,,,,,,,
22,CAR,-0.026,22,,,4-7,-0.029,19,-0.051,10,-0.049,29,12,2016,-0.022,21,,,,,,,,,,,,,,
23,ARI,-0.030,19,,,4-6-2001,-0.123,26,-0.151,5,-0.058,30,12,2016,-0.037,23,,,,,,,,,,,,,,
24,CHI,-0.093,24,,,2-9,-0.070,23,0.034,20,0.011,13,12,2016,-0.090,24,,,,,,,,,,,,,,
25,DET,-0.123,26,,,7-4,-0.002,14,0.184,31,0.064,4,12,2016,-0.106,25,,,,,,,,,,,,,,
26,LARM,-0.138,25,,,4-7,-0.237,32,-0.023,15,0.076,3,12,2016,-0.144,26,,,,,,,,,,,,,,
27,SF,-0.171,28,,,1-10,-0.062,22,0.102,29,-0.007,17,12,2016,-0.172,27,,,,,,,,,,,,,,
28,IND,-0.184,27,,,5-6,-0.054,21,0.186,32,0.056,5,12,2016,-0.182,28,,,,,,,,,,,,,,
29,JAC,-0.196,29,,,2-9,-0.157,28,-0.001,16,-0.039,27,12,2016,-0.203,29,,,,,,,,,,,,,,
30,HOU,-0.263,30,,,6-5,-0.220,31,-0.023,14,-0.066,31,12,2016,-0.273,31,,,,,,,,,,,,,,
31,NYJ,-0.269,31,,,3-8,-0.130,27,0.066,23,-0.074,32,12,2016,-0.262,30,,,,,,,,,,,,,,
