TEAM,YEAR,GP,YDS,TOTAL YDS/G,YDS,PASSING YDS/G,YDS,RUSHING YDS/G,PTS,PTS/G,GP,TOTAL YDS,YDS/G,PASSING YDS,YDS/G,RUSHING YDS,YDS/G,POINTS,PTS/G
New York JetsNew York Jets,2016,16,"5,268",329.3,"3,466",216.6,"1,802",112.6,275,17.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Denver BroncosDenver Broncos,2016,16,"5,169",323.1,"3,685",230.3,"1,484",92.8,333,20.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Minnesota VikingsMinnesota Vikings,2016,16,"5,041",315.1,"3,836",239.8,"1,205",75.3,327,20.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Houston TexansHouston Texans,2016,16,"5,035",314.7,"3,176",198.5,"1,859",116.2,279,17.4,2,576,288,348,174,228,114,43,21.5
Cleveland BrownsCleveland Browns,2016,16,"4,976",311,"3,264",204,"1,712",107,264,16.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
San Francisco 49ersSan Francisco 49ers,2016,16,"4,930",308.1,"2,911",181.9,"2,019",126.2,309,19.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Los Angeles RamsLos Angeles Rams,2016,16,"4,203",262.7,"2,951",184.4,"1,252",78.3,224,14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Arizona CardinalsArizona Cardinals,2015,16,"6,533",408.3,"4,616",288.5,"1,917",119.8,489,30.6,2,655,327.5,555,277.5,100,50,41,20.5
New Orleans SaintsNew Orleans Saints,2015,16,"6,461",403.8,"4,970",310.6,"1,491",93.2,408,25.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pittsburgh SteelersPittsburgh Steelers,2015,16,"6,327",395.4,"4,603",287.7,"1,724",107.8,423,26.4,2,765,382.5,513,256.5,252,126,34,17
Seattle SeahawksSeattle Seahawks,2015,16,"6,058",378.6,"3,790",236.9,"2,268",141.8,423,26.4,2,629,314.5,454,227,175,87.5,34,17
Tampa Bay BuccaneersTampa Bay Buccaneers,2015,16,"6,014",375.9,"3,852",240.8,"2,162",135.1,342,21.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
New England PatriotsNew England Patriots,2015,16,"5,991",374.4,"4,587",286.7,"1,404",87.8,465,29.1,2,676,338,594,297,82,41,45,22.5
Atlanta FalconsAtlanta Falcons,2015,16,"5,990",374.4,"4,379",273.7,"1,611",100.7,339,21.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
New York GiantsNew York Giants,2015,16,"5,956",372.3,"4,347",271.7,"1,609",100.6,420,26.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
San Diego ChargersSan Diego Chargers,2015,16,"5,949",371.8,"4,591",286.9,"1,358",84.9,320,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
New York JetsNew York Jets,2015,16,"5,925",370.3,"4,057",253.6,"1,868",116.8,387,24.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Carolina PanthersCarolina Panthers,2015,16,"5,871",366.9,"3,589",224.3,"2,282",142.6,500,31.3,3,1086,362,672,224,414,138,90,30
Philadelphia EaglesPhiladelphia Eagles,2015,16,"5,830",364.4,"4,087",255.4,"1,743",108.9,377,23.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Buffalo BillsBuffalo Bills,2015,16,"5,775",360.9,"3,343",208.9,"2,432",152,379,23.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Baltimore RavensBaltimore Ravens,2015,16,"5,749",359.3,"4,271",266.9,"1,478",92.4,328,20.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cincinnati BengalsCincinnati Bengals,2015,16,"5,728",358,"3,923",245.2,"1,805",112.8,419,26.2,1,279,279,188,188,91,91,16,16
Denver BroncosDenver Broncos,2015,16,"5,688",355.5,"3,970",248.1,"1,718",107.4,355,22.2,3,762,254,464,154.7,298,99.3,67,22.3
Washington RedskinsWashington Redskins,2015,16,"5,661",353.8,"4,095",255.9,"1,566",97.9,388,24.3,1,354,354,270,270,84,84,18,18
Jacksonville JaguarsJacksonville Jaguars,2015,16,"5,581",348.8,"4,108",256.8,"1,473",92.1,376,23.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Houston TexansHouston Texans,2015,16,"5,564",347.8,"3,833",239.6,"1,731",108.2,339,21.2,1,226,226,112,112,114,114,0,0
Detroit LionsDetroit Lions,2015,16,"5,547",346.7,"4,212",263.3,"1,335",83.4,358,22.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chicago BearsChicago Bears,2015,16,"5,514",344.6,"3,663",228.9,"1,851",115.7,335,20.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dallas CowboysDallas Cowboys,2015,16,"5,361",335.1,"3,471",216.9,"1,890",118.1,275,17.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Green Bay PackersGreen Bay Packers,2015,16,"5,353",334.6,"3,503",218.9,"1,850",115.6,368,23,2,732,366,456,228,276,138,55,27.5
Oakland RaidersOakland Raiders,2015,16,"5,336",333.5,"3,879",242.4,"1,457",91.1,359,22.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cleveland BrownsCleveland Browns,2015,16,"5,311",331.9,"3,782",236.4,"1,529",95.6,278,17.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Miami DolphinsMiami Dolphins,2015,16,"5,307",331.7,"3,811",238.2,"1,496",93.5,310,19.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kansas City ChiefsKansas City Chiefs,2015,16,"5,299",331.2,"3,255",203.4,"2,044",127.8,405,25.3,2,692,346,416,208,276,138,50,25
Indianapolis ColtsIndianapolis Colts,2015,16,"5,142",321.4,"3,704",231.5,"1,438",89.9,333,20.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Minnesota VikingsMinnesota Vikings,2015,16,"5,139",321.2,"2,928",183,"2,211",138.2,365,22.8,1,183,183,125,125,58,58,9,9
Tennessee TitansTennessee Titans,2015,16,"4,988",311.8,"3,503",218.9,"1,485",92.8,299,18.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
San Francisco 49ersSan Francisco 49ers,2015,16,"4,860",303.8,"3,316",207.3,"1,544",96.5,238,14.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
St. Louis RamsSt. Louis Rams,2015,16,"4,761",297.6,"2,805",175.3,"1,956",122.3,280,17.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
