Team,ATS Record,Cover %,MOV,ATS +/-
Arizona Cardinals,7-8-1,46.7%,-12.5,-5.2
Atlanta Falcons,5-11-0,31.2%,-0.6,-2.0
Baltimore Ravens,8-9-0,47.1%,5.6,2.9
Buffalo Bills,7-9-0,43.8%,-6.6,-0.2
Carolina Panthers,7-9-0,43.8%,-0.4,-0.2
Chicago Bears,12-5-0,70.6%,8.1,4.8
Cincinnati Bengals,9-7-0,56.2%,-5.4,-2.0
Cleveland Browns,10-6-0,62.5%,-2.1,0.6
Dallas Cowboys,9-8-1,52.9%,0.5,1.3
Denver Broncos,6-9-1,40.0%,-1.2,0.2
Detroit Lions,9-7-0,56.2%,-2.2,0.6
Green Bay Packers,6-9-1,40.0%,-1.5,-3.8
Houston Texans,7-9-1,43.8%,4.2,1.2
Indianapolis Colts,9-8-1,52.9%,4.7,4.2
Jacksonville Jaguars,5-9-2,35.7%,-4.4,-4.6
Kansas City Chiefs,10-7-1,58.8%,8.7,4.0
San Diego Chargers,10-8-0,55.6%,5.1,1.2
St. Louis Rams,9-9-1,50.0%,7.6,0.5
Oakland Raiders,6-10-0,37.5%,-11.1,-5.1
Miami Dolphins,8-8-0,50.0%,-7.1,-3.1
Minnesota Vikings,8-7-1,53.3%,1.2,-1.4
New York Giants,8-7-1,53.3%,-2.7,-0.2
New York Jets,5-10-1,33.3%,-6.8,-2.2
New England Patriots,12-7-0,63.2%,7.4,1.0
New Orleans Saints,10-8-0,55.6%,8.6,3.1
Philadelphia Eagles,9-9-0,50.0%,0.8,0.1
Pittsburgh Steelers,8-7-1,53.3%,4.2,1.2
San Francisco 49ers,5-11-0,31.2%,-5.8,-2.1
Seattle Seahawks,10-5-2,66.7%,4.6,4.2
Tampa Bay Buccaneers,7-7-2,50.0%,-4.2,-1.0
Tennessee Titans,8-8-0,50.0%,0.4,1.0
Washington Redskins,9-7-0,56.2%,-4.9,-1.7
