Team,ATS Record,Cover %,MOV,ATS +/-
Arizona Cardinals,9-5-2,64.3%,-5.1,0.5
Atlanta Falcons,8-8-0,50.0%,-1.1,1.1
Baltimore Ravens,10-7-0,58.8%,13.7,8.1
Buffalo Bills,9-6-2,60.0%,3.1,2.8
Carolina Panthers,6-9-1,40.0%,-8.1,-6.2
Chicago Bears,4-12-0,25.0%,-1.1,-2.6
Cincinnati Bengals,6-10-0,37.5%,-8.8,-3.2
Cleveland Browns,5-10-1,33.3%,-3.6,-4.3
Dallas Cowboys,9-7-0,56.2%,7.1,1.7
Denver Broncos,9-7-0,56.2%,-2.1,0.5
Detroit Lions,6-10-0,37.5%,-5.1,-0.9
Green Bay Packers,11-7-0,61.1%,2.8,-0.3
Houston Texans,8-9-1,47.1%,-1.3,-0.9
Indianapolis Colts,7-7-2,50.0%,-0.8,-1.0
Jacksonville Jaguars,7-9-0,43.8%,-6.1,-3.8
Kansas City Chiefs,13-5-1,72.2%,9.7,4.8
San Diego Chargers,4-9-3,30.8%,-0.5,-2.0
St. Louis Rams,10-5-1,66.7%,1.9,-0.8
Oakland Raiders,8-8-0,50.0%,-6.6,-3.9
Miami Dolphins,9-7-0,56.2%,-11.8,-1.2
Minnesota Vikings,10-8-0,55.6%,5.2,2.7
New York Giants,7-9-0,43.8%,-6.9,-3.1
New York Jets,7-9-0,43.8%,-5.2,-0.4
New England Patriots,8-8-1,50.0%,11.1,1.6
New Orleans Saints,11-6-0,64.7%,6.5,2.1
Philadelphia Eagles,7-10-0,41.2%,1.4,-1.5
Pittsburgh Steelers,9-7-0,56.2%,-0.9,-1.3
San Francisco 49ers,11-7-1,61.1%,10.1,6.0
Seattle Seahawks,8-9-1,47.1%,0.6,-1.2
Tampa Bay Buccaneers,5-9-2,35.7%,0.6,1.4
Tennessee Titans,10-8-1,55.6%,4.4,4.9
Washington Redskins,6-10-0,37.5%,-10.6,-3.2
