Team,ATS Record,Cover %,MOV,ATS +/-
Arizona Cardinals,6-10-0,37.5%,3.5,0.0
Atlanta Falcons,12-7-0,63.2%,8.8,6.7
Baltimore Ravens,7-9-0,43.8%,1.4,0.7
Buffalo Bills,6-10-0,37.5%,1.3,0.6
Carolina Panthers,6-9-1,40.0%,-2.1,-3.3
Chicago Bears,7-9-0,43.8%,-7.5,-3.9
Cincinnati Bengals,7-9-0,43.8%,0.6,-0.2
Cleveland Browns,4-12-0,25.0%,-11.8,-5.0
Dallas Cowboys,10-7-0,58.8%,6.6,4.4
Denver Broncos,9-7-0,56.2%,2.2,1.2
Detroit Lions,8-9-0,47.1%,-1.9,-0.7
Green Bay Packers,11-7-1,61.1%,2.6,0.4
Houston Texans,7-10-1,41.2%,-3.0,-1.0
Indianapolis Colts,7-8-1,46.7%,1.2,2.4
Jacksonville Jaguars,8-8-0,50.0%,-5.1,-2.1
Kansas City Chiefs,9-7-1,56.2%,4.5,2.1
San Diego Chargers,7-9-0,43.8%,-0.8,-0.4
St. Louis Rams,4-11-1,26.7%,-10.6,-6.5
Oakland Raiders,10-7-0,58.8%,1.1,0.4
Miami Dolphins,9-7-1,56.2%,-2.1,0.4
Minnesota Vikings,9-7-0,56.2%,1.2,0.1
New York Giants,9-7-1,56.2%,0.1,0.3
New York Jets,6-10-0,37.5%,-8.4,-4.9
New England Patriots,16-3-0,84.2%,12.3,5.6
New Orleans Saints,10-5-1,66.7%,0.9,1.1
Philadelphia Eagles,8-8-0,50.0%,2.2,2.8
Pittsburgh Steelers,11-8-0,57.9%,3.8,0.3
San Francisco 49ers,4-11-1,26.7%,-10.7,-4.4
Seattle Seahawks,9-9-0,50.0%,3.7,-1.4
Tampa Bay Buccaneers,9-7-0,56.2%,-0.9,1.8
Tennessee Titans,7-9-0,43.8%,0.2,0.3
Washington Redskins,10-6-0,62.5%,0.8,-0.1
