Team,ATS Record,Cover %,MOV,ATS +/-
Arizona Cardinals,9-9-0,50.0%,8.2,3.4
Atlanta Falcons,6-10-0,37.5%,-0.4,-1.8
Baltimore Ravens,5-9-2,35.7%,-4.6,-2.7
Buffalo Bills,8-7-1,53.3%,1.2,1.0
Carolina Panthers,13-6-0,68.4%,11.5,7.6
Chicago Bears,8-8-0,50.0%,-3.9,0.0
Cincinnati Bengals,12-3-2,80.0%,8.1,4.4
Cleveland Browns,6-10-0,37.5%,-9.6,-4.3
Dallas Cowboys,4-11-1,26.7%,-6.2,-4.2
Denver Broncos,10-8-1,55.6%,4.3,2.1
Detroit Lions,7-9-0,43.8%,-2.6,-1.2
Green Bay Packers,11-7-0,61.1%,3.1,-0.4
Houston Texans,9-8-0,52.9%,-0.2,0.7
Indianapolis Colts,8-8-0,50.0%,-4.7,-4.1
Jacksonville Jaguars,7-8-1,46.7%,-4.5,-1.9
Kansas City Chiefs,9-9-0,50.0%,7.8,5.1
San Diego Chargers,8-8-0,50.0%,-4.9,-2.3
St. Louis Rams,7-8-1,46.7%,-3.1,-1.7
Oakland Raiders,8-8-0,50.0%,-2.5,-0.2
Miami Dolphins,5-11-0,31.2%,-4.9,-3.6
Minnesota Vikings,14-3-0,82.3%,3.6,4.0
New York Giants,8-7-1,53.3%,-1.4,-0.3
New York Jets,8-6-2,57.1%,4.6,2.2
New England Patriots,8-8-2,50.0%,8.6,1.4
New Orleans Saints,8-7-1,53.3%,-4.2,-3.0
Philadelphia Eagles,7-9-0,43.8%,-3.3,-4.4
Pittsburgh Steelers,9-6-3,60.0%,5.5,4.1
San Francisco 49ers,7-9-0,43.8%,-9.3,-2.9
Seattle Seahawks,8-9-1,47.1%,7.8,2.4
Tampa Bay Buccaneers,7-9-0,43.8%,-4.7,-2.2
Tennessee Titans,4-11-1,26.7%,-7.8,-4.4
Washington Redskins,9-8-0,52.9%,-0.5,2.9
