Team,ATS Record,Cover %,MOV,ATS +/-
Arizona Cardinals,5-3-0,62.5%,6.8,4.7
Atlanta Falcons,4-5-0,44.4%,-0.9,-0.7
Baltimore Ravens,4-4-0,50.0%,10.6,3.3
Buffalo Bills,4-5-0,44.4%,1.0,-1.7
Carolina Panthers,5-4-0,55.6%,-1.8,2.2
Chicago Bears,5-4-0,55.6%,-1.3,1.8
Cincinnati Bengals,6-2-0,75.0%,-2.5,3.1
Cleveland Browns,3-5-0,37.5%,-3.9,-4.7
Dallas Cowboys,1-8-0,11.1%,-9.6,-7.9
Denver Broncos,5-3-0,62.5%,-5.4,-0.6
Detroit Lions,3-5-0,37.5%,-5.4,-3.3
Green Bay Packers,6-2-0,75.0%,6.1,3.1
Houston Texans,1-7-0,12.5%,-6.1,-4.9
Indianapolis Colts,5-4-0,55.6%,7.2,2.9
Jacksonville Jaguars,3-5-0,37.5%,-8.5,-3.9
Kansas City Chiefs,6-3-0,66.7%,11.4,2.7
San Diego Chargers,5-3-0,62.5%,-1.4,-0.8
St. Louis Rams,4-4-0,50.0%,5.1,1.4
Oakland Raiders,5-3-0,62.5%,-1.4,1.8
Miami Dolphins,6-2-0,75.0%,7.6,11.1
Minnesota Vikings,5-3-0,62.5%,-2.1,-0.3
New York Giants,6-3-0,66.7%,-5.7,0.3
New York Jets,2-7-0,22.2%,-16.3,-7.4
New England Patriots,3-5-0,37.5%,-3.5,-5.3
New Orleans Saints,3-5-0,37.5%,5.5,1.6
Philadelphia Eagles,3-5-0,37.5%,-2.4,-2.6
Pittsburgh Steelers,6-2-0,75.0%,9.2,4.9
San Francisco 49ers,4-5-0,44.4%,2.0,-0.4
Seattle Seahawks,5-3-0,62.5%,3.9,0.5
Tampa Bay Buccaneers,4-5-0,44.4%,5.2,1.1
Tennessee Titans,3-6-0,33.3%,1.6,-1.6
Washington Redskins,4-4-0,50.0%,-4.4,0.9
